FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	1038040000	3.442263e+00	3.442263e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	6	13	6	13	12	12	12	9	3.416219e+00	2.560999e+00	1.840082e+00	6.431487e+00	-9.969347e-02	6.504482e+00	17.394000
BVB	FCB	1	1038080000	3.056566e+00	3.056566e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	3	12	7	11	13	13	12	8	3.473881e+00	2.416928e+00	1.312337e+00	5.787515e+00	2.262533e-01	5.122481e+00	17.488000
BVB	FCB	1	1038120000	2.925093e+00	2.925093e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	3	13	7	9	12	13	12	8	2.452609e+00	3.861928e+00	1.519371e+00	6.258605e+00	1.799418e-02	3.440049e+00	34.804000
BVB	FCB	1	1038160000	3.080856e+00	3.080856e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	4	12	7	7	13	12	12	8	5.368235e+00	4.255992e+00	2.322255e+00	5.855987e+00	-1.735178e-01	8.561848e-01	17.940000
BVB	FCB	1	1038200000	3.026472e+00	3.026472e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	7	13	6	6	13	13	13	8	6.759848e+00	1.098050e+00	2.113502e+00	7.396082e+00	-3.257584e-01	1.117109e+00	30.686000
BVB	FCB	1	1038240000	2.419651e+00	2.419651e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	12	7	4	12	12	13	9	6.440407e-01	3.779490e+00	1.437085e+00	7.060985e+00	-3.557230e-01	1.952026e+00	34.492000
BVB	FCB	1	1038280000	1.905970e+00	1.905970e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	13	7	4	13	12	10	12	1.240766e+00	2.432605e+00	4.544113e-01	4.351417e+00	-3.764891e-01	3.333110e+00	17.394000
BVB	FCB	1	1038320000	2.965148e+00	2.965148e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	7	5	12	13	9	13	1.051689e+00	3.690044e+00	1.355235e+00	4.218726e+00	4.059668e+00	3.415526e+00	19.250000
BVB	FCB	1	1038360000	1.087451e+00	1.087451e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	10	7	8	13	11	8	12	8.272861e-01	1.836105e-01	4.365473e-01	1.628854e+00	3.584456e+00	-1.360492e-01	28.548000
BVB	FCB	1	1038400000	1.056171e+00	1.056171e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	7	9	13	12	9	13	-3.516975e-01	8.544871e-01	1.607503e-01	7.802717e-01	4.153300e+00	7.399165e-01	30.873000
BVB	FCB	1	1038440000	9.102732e-01	9.102732e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	8	9	12	11	8	12	-3.806798e-01	6.540480e-01	3.654449e-01	1.383971e+00	3.206222e+00	2.326331e-01	22.823000
BVB	FCB	1	1038480000	7.921552e-01	7.921552e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	7	8	13	10	10	12	-4.074985e-01	1.967227e+00	2.764592e-01	1.666307e+00	1.295240e+00	-4.480427e-02	33.274000
BVB	FCB	1	1038520000	7.808412e-01	7.808412e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	8	9	12	10	13	12	-4.016008e-01	3.600114e+00	-6.069028e-02	1.659365e+00	1.520843e-01	-2.642244e-01	35.522000
BVB	FCB	1	1038560000	1.154893e+00	1.154893e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	11	7	9	13	10	12	11	-3.957492e-01	2.589054e+00	-1.383112e-01	5.133066e-01	4.798848e+00	-4.377901e-01	24.836000
BVB	FCB	1	1038600000	9.420863e-01	9.420863e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	8	11	12	11	13	12	-3.769376e-01	1.604218e+00	-3.108133e-01	3.409022e-01	4.830426e+00	-4.352773e-01	19.843000
BVB	FCB	1	1038640000	1.093576e+00	1.093576e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	10	9	11	12	11	13	12	-1.545281e-02	1.196254e+00	-3.871870e-01	4.097840e-01	2.499413e+00	2.858645e+00	34.913000
BVB	FCB	1	1038680000	1.027914e+00	1.027914e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	12	9	11	13	13	12	13	1.049372e+00	5.006719e-01	1.707055e-01	-2.750746e-01	2.300955e+00	2.420857e+00	23.025000
BVB	FCB	1	1038720000	1.312856e+00	1.312856e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	11	10	12	12	13	13	13	6.185787e-01	2.374950e-01	1.328818e+00	1.083636e-03	3.350172e+00	2.340988e+00	32.636000
BVB	FCB	1	1038760000	1.173031e+00	1.173031e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	12	9	11	13	12	12	12	8.391981e-01	2.811306e+00	-1.282553e-01	8.955728e-02	-6.284309e-02	3.489226e+00	34.946000
BVB	FCB	1	1038800000	1.091448e+00	1.091448e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	9	12	13	13	13	12	6.819686e-01	2.198310e+00	2.915606e-01	8.473791e-02	-2.683866e-01	3.560496e+00	19.501000
BVB	FCB	1	1038840000	1.514370e+00	1.514370e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	10	12	12	13	13	12	5.807457e-01	2.215250e+00	1.744836e+00	2.195008e-01	-2.591448e-01	4.585033e+00	35.380000
BVB	FCB	1	1038880000	3.094887e+00	3.094887e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	10	11	13	12	12	11	1.047212e+00	4.329210e+00	1.563864e+00	6.890060e-01	6.379037e+00	4.560995e+00	17.893000
BVB	FCB	1	1038920000	2.943065e+00	2.943065e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	10	13	12	13	13	12	1.230232e+00	4.103723e+00	2.119197e+00	4.759104e-01	4.731531e+00	4.997795e+00	35.787000
BVB	FCB	1	1038960000	3.113260e+00	3.113260e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	12	13	12	12	11	1.673865e+00	3.330411e+00	2.412721e+00	5.727320e-01	5.086503e+00	5.603328e+00	22.091000
BVB	FCB	1	1039000000	2.831468e+00	2.831468e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	10	13	13	13	13	12	1.722995e+00	3.129839e+00	2.100871e+00	8.275814e-01	3.832997e+00	5.374525e+00	26.068000
BVB	FCB	1	1039040000	3.478950e+00	3.478950e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	9	13	12	12	13	11	1.409181e+00	6.680591e+00	2.156222e+00	9.653253e-01	3.698540e+00	5.963841e+00	33.852000
BVB	FCB	1	1039080000	3.035898e+00	3.035898e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	8	12	12	12	13	13	1.266731e+00	3.670848e+00	2.184930e+00	1.099013e+00	3.840886e+00	6.152983e+00	29.359000
BVB	FCB	1	1039120000	3.484646e+00	3.484646e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	9	13	12	13	13	13	1.811733e+00	4.584077e+00	3.180495e+00	2.690269e+00	3.977482e+00	4.663820e+00	32.417000
BVB	FCB	1	1039160000	3.368352e+00	3.368352e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	12	11	14	13	12	2.457383e+00	4.324243e+00	2.733698e+00	1.590754e+00	4.669578e+00	4.434457e+00	22.964000
BVB	FCB	1	1039200000	3.736004e+00	3.736004e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	8	13	13	13	13	11	2.957930e+00	2.935978e+00	4.510920e+00	5.642354e+00	3.686695e+00	2.682150e+00	22.355000
BVB	FCB	1	1039240000	3.688165e+00	3.688165e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	7	13	12	13	13	8	4.601794e+00	3.134264e+00	4.226970e+00	5.593298e+00	3.224014e+00	1.348648e+00	29.235000
BVB	FCB	1	1039280000	1.911516e+00	1.911516e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	12	8	12	13	12	12	6	2.215345e+00	5.591371e-01	-3.195273e-01	3.780570e+00	4.805292e+00	4.282798e-01	30.544000
BVB	FCB	1	1039320000	1.314300e+00	1.314300e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	7	13	14	13	13	4	1.988583e+00	-3.131522e-01	-3.076145e-01	2.205921e+00	3.641082e+00	6.709804e-01	34.914000
BVB	FCB	1	1039360000	1.543410e+00	1.543410e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	8	12	12	12	13	2	2.466179e+00	-2.913667e-01	-3.049734e-01	2.693025e+00	3.511201e+00	1.186394e+00	20.373000
BVB	FCB	1	1039400000	2.378451e+00	2.378451e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	11	8	13	12	13	13	0	2.459470e+00	6.661036e-01	4.946218e+00	2.432192e+00	2.137997e+00	1.628727e+00	22.402000
