FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	1500000000	3.742605e+00	3.742605e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	9	10	13	13	12	5.853453e+00	1.704030e+00	-2.620071e-01	6.459401e+00	3.366870e+00	5.156584e+00	5.040225e+00	5.740150e-01	5.790871e+00	73.629000
FCB	BVB	1	1500040000	4.964749e+00	4.964749e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	9	12	11	10	8.070579e+00	2.212880e+00	-2.354715e-01	7.968627e+00	3.848661e+00	4.124553e+00	6.424258e+00	6.660954e+00	5.607704e+00	72.212000
FCB	BVB	1	1500080000	4.314383e+00	4.314383e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	8	7	13	12	8	8.485729e+00	3.116135e+00	-2.333963e-01	7.707006e+00	3.220758e+00	3.689970e+00	5.926293e+00	7.905349e-02	6.837898e+00	71.230000
FCB	BVB	1	1500120000	4.853885e+00	4.853885e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	8	8	11	11	8	8.710619e+00	3.749269e+00	-2.267459e-01	8.691564e+00	3.766875e+00	4.342260e+00	7.123809e+00	4.786065e-01	7.048711e+00	71.292000
FCB	BVB	1	1500160000	4.463498e+00	4.463498e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	9	12	12	7	7.972941e+00	-1.401818e-01	-2.450942e-01	9.007040e+00	5.105325e+00	4.463857e+00	7.249615e+00	4.038106e-01	6.354174e+00	71.557000
FCB	BVB	1	1500200000	3.479243e+00	3.479243e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	12	12	7	6.929871e+00	-2.122293e-01	-2.639784e-01	2.194586e+00	5.301554e+00	4.739921e+00	7.877306e+00	5.660224e-01	4.180138e+00	71.978000
FCB	BVB	1	1500240000	3.639857e+00	3.639857e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	10	12	13	8	6.788526e+00	-1.116148e-02	-2.115030e-01	2.290198e+00	5.767480e+00	4.645480e+00	8.700574e+00	7.260037e-01	4.063114e+00	72.571000
FCB	BVB	1	1500280000	3.899200e+00	3.899200e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	12	12	11	8.233296e+00	3.342119e-02	-2.778728e-01	2.535877e+00	6.245939e+00	3.656917e+00	8.499697e+00	1.475221e+00	4.690300e+00	72.868000
FCB	BVB	1	1500320000	2.819442e+00	2.819442e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	12	12	10	6.196459e+00	1.439773e-02	-2.759382e-01	-2.628186e-01	6.122685e+00	-2.825029e-01	8.002424e+00	1.452704e+00	4.407565e+00	73.071000
FCB	BVB	1	1500360000	nan	3.181336e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	13	11	4.935602e+00	2.249133e+00	-2.593270e-01	-2.967715e-01	6.266969e+00	nan	7.440031e+00	1.282153e+00	3.832896e+00	65.879000
FCB	BVB	1	1500400000	nan	3.318001e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	12	13	13	6.632257e+00	3.433630e+00	-2.922550e-01	nan	5.013663e+00	-3.416809e-01	5.634932e+00	1.145810e+00	5.317654e+00	66.175000
FCB	BVB	1	1500440000	2.675799e+00	2.675799e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	12	12	2.565494e+00	5.001040e+00	-3.326157e-01	-2.007187e-01	5.434978e+00	-3.554768e-01	7.113076e+00	8.401455e-01	4.016270e+00	73.726000
FCB	BVB	1	1500480000	3.202593e+00	3.202593e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	13	13	2.556003e+00	4.165549e+00	-3.822120e-01	4.343337e+00	6.347191e+00	-3.888465e-01	6.961163e+00	6.610650e-01	4.560088e+00	73.758000
FCB	BVB	1	1500520000	3.389286e+00	3.389286e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	9	13	13	11	2.513298e+00	3.654655e+00	-3.389654e-01	7.572347e+00	6.267105e+00	-2.335625e-01	4.851497e+00	4.720643e-01	5.745139e+00	72.874000
FCB	BVB	1	1500560000	3.241094e+00	3.241094e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	7	13	13	11	1.457420e+00	4.248321e+00	-3.301921e-01	2.631285e+00	6.921085e+00	-1.467053e-01	6.073094e+00	3.920547e+00	4.394989e+00	72.508000
FCB	BVB	1	1500600000	3.345697e+00	3.345697e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	7	12	13	12	2.223732e+00	-3.071844e-01	-3.248549e-01	3.687223e+00	6.803307e+00	6.474400e-02	6.678116e+00	5.556740e+00	5.729455e+00	72.338000
FCB	BVB	1	1500640000	3.169841e+00	3.169841e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	8	13	12	11	-2.987011e-01	-2.874106e-01	-2.710731e-01	6.049366e+00	3.922574e+00	7.422988e-01	6.782695e+00	5.792579e+00	6.096239e+00	72.384000
FCB	BVB	1	1500680000	nan	3.255361e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	9	9	13	12	10	nan	-1.848526e-01	-2.943038e-01	1.228055e+00	6.441602e+00	2.563670e+00	6.543665e+00	5.346046e+00	4.399003e+00	64.116000
FCB	BVB	1	1500720000	nan	2.292261e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	13	8	nan	-3.226702e-01	-3.680353e-01	-3.604190e-01	5.451788e+00	3.036837e+00	1.466150e+00	2.933434e+00	6.501002e+00	64.537000
FCB	BVB	1	1500760000	nan	2.748529e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	12	6	nan	2.268572e-01	nan	-3.179665e-01	3.285384e+00	1.102804e+00	3.988193e+00	6.111331e+00	4.843103e+00	56.144000
FCB	BVB	1	1500800000	nan	2.281393e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	12	13	4	nan	2.541285e-01	nan	-5.248886e-02	7.027514e-01	7.415349e-01	4.867466e+00	3.678856e+00	5.777501e+00	56.331000
FCB	BVB	1	1500840000	nan	2.360552e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	14	2	nan	1.008841e+00	nan	3.762111e-01	5.874665e-01	-2.143406e-01	4.741884e+00	3.442985e+00	6.580818e+00	56.379000
FCB	BVB	1	1500880000	nan	2.035405e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	12	12	4	nan	1.325739e+00	nan	1.487645e-01	-1.327310e-02	1.244304e+00	5.011249e+00	7.834555e-01	5.747597e+00	55.770000
FCB	BVB	1	1500920000	nan	2.025870e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	11	5	nan	5.788454e+00	nan	-1.394690e-01	-2.445256e-01	1.364141e+00	2.797566e+00	-1.359114e-01	4.750838e+00	55.801000
FCB	BVB	1	1500960000	nan	2.894962e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	11	8	7.447525e-01	7.177407e+00	nan	-2.661826e-01	3.813722e+00	1.812224e+00	3.788505e+00	3.111227e-01	5.778148e+00	64.272000
FCB	BVB	1	1501000000	nan	3.482275e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	12	9	1.589354e+00	7.668635e+00	nan	6.975360e+00	-6.212789e-02	1.041477e+00	4.678584e+00	2.713915e-01	5.695527e+00	64.428000
FCB	BVB	1	1501040000	nan	4.571878e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	11	10	1.202995e+00	6.416113e+00	nan	8.087341e+00	5.315272e+00	1.889985e+00	5.837926e+00	3.195563e-03	7.822192e+00	64.663000
FCB	BVB	1	1501080000	nan	4.164538e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	12	13	11	-2.829456e-01	8.354932e+00	nan	8.621081e+00	1.012230e+00	3.117711e+00	6.079175e+00	-1.189321e-01	6.533054e+00	65.380000
FCB	BVB	1	1501120000	nan	3.757752e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	12	11	-3.220570e-01	7.950583e+00	nan	8.658393e+00	7.779304e-01	2.546614e+00	5.745661e+00	-1.189992e-01	4.823889e+00	65.256000
FCB	BVB	1	1501160000	nan	3.760236e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	12	13	11	-2.878019e-01	6.707796e+00	nan	7.706778e+00	4.570487e-01	3.177681e+00	7.199061e+00	-2.044671e-01	5.325796e+00	64.818000
FCB	BVB	1	1501200000	nan	5.327388e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	13	13	3.781733e+00	4.255109e+00	nan	8.986096e+00	5.610993e+00	4.681354e+00	6.651953e+00	1.057355e+00	7.594513e+00	66.738000
FCB	BVB	1	1501240000	nan	4.702302e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	13	12	3.359621e+00	5.209618e+00	nan	7.331823e+00	2.037777e+00	3.973581e+00	5.577978e+00	1.814727e+00	8.313296e+00	65.910000
FCB	BVB	1	1501280000	nan	5.599807e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	12	13	5.187342e+00	4.617848e+00	nan	8.553275e+00	8.886302e+00	1.633124e+00	6.483022e+00	1.397679e+00	8.039867e+00	65.334000
FCB	BVB	1	1501320000	nan	4.407955e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	7	13	9	12	2.590938e+00	6.316795e+00	nan	6.928282e+00	3.257953e-01	3.632382e+00	5.311072e+00	1.772553e+00	8.385823e+00	64.631000
FCB	BVB	1	1501360000	nan	4.660117e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	6	12	7	12	4.805967e+00	6.887620e+00	nan	5.532126e+00	1.821904e+00	2.911346e+00	7.737315e+00	1.456276e+00	6.128383e+00	63.679000
