FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	0	nan	3.744584e+00	2	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	6	0	5	6	0	6	6	7	7.064581e+00	1.320748e+00	4.652358e+00	1.940651e+00	nan	nan	17.722000
BVB	FCB	1	40000	nan	3.602909e+00	2	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	8	0	7	8	0	9	9	9	7.229617e+00	2.116297e+00	5.336312e+00	-2.705910e-01	nan	nan	21.434000
BVB	FCB	1	80000	nan	3.575689e+00	2	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	0	8	10	3	11	11	11	7.694556e+00	1.619775e+00	5.249131e+00	-2.607076e-01	nan	nan	24.103000
BVB	FCB	1	120000	nan	5.250702e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	0	9	9	5	13	13	13	7.445312e+00	2.665563e+00	5.641232e+00	nan	nan	nan	19.886000
BVB	FCB	1	160000	nan	5.631987e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	9	0	8	7	8	13	12	13	7.586489e+00	3.047325e+00	6.262146e+00	nan	nan	nan	25.070000
BVB	FCB	1	200000	nan	6.795516e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	0	9	5	10	13	13	13	8.713991e+00	4.254392e+00	7.418165e+00	nan	nan	nan	29.250000
BVB	FCB	1	240000	nan	7.655829e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	0	8	3	12	13	13	13	9.248156e+00	4.999753e+00	8.719579e+00	nan	nan	nan	29.250000
BVB	FCB	1	280000	nan	7.383778e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	11	0	8	0	10	12	12	12	7.954426e+00	5.168574e+00	9.028334e+00	nan	nan	nan	26.536000
BVB	FCB	1	320000	nan	6.266984e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	2	8	0	7	13	13	13	7.857176e+00	1.970969e+00	8.972807e+00	nan	nan	nan	19.157000
BVB	FCB	1	360000	nan	6.205887e+00	3	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	2	8	0	5	12	13	12	7.341853e+00	1.605997e+00	9.669811e+00	nan	nan	nan	30.295000
