FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	492880000	5.821143e+00	5.821143e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	12	0	8.053896e+00	8.152042e+00	6.802588e+00	8.064071e+00	8.294727e+00	5.212667e+00	8.237047e+00	-1.884717e-01	-2.382755e-01	25.434000
FCB	BVB	1	492920000	5.398600e+00	5.398600e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	6	13	11	0	7.423842e+00	5.372253e+00	7.033992e+00	7.317612e+00	7.849974e+00	6.107928e+00	7.950507e+00	-2.170592e-01	-2.516528e-01	23.790000
FCB	BVB	1	492960000	nan	5.554697e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	6	13	9	0	6.472712e+00	nan	4.907512e+00	8.289796e+00	8.280626e+00	7.647418e+00	9.342078e+00	-2.462957e-01	-2.562718e-01	21.076000
FCB	BVB	1	493000000	6.150826e+00	6.150826e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	7	12	7	0	6.670235e+00	-2.324330e-01	4.729133e+00	5.936293e+00	9.052980e+00	8.776713e+00	9.540214e+00	8.780091e+00	2.104213e+00	23.447000
FCB	BVB	1	493040000	6.494278e+00	6.494278e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	13	4	0	3.616184e+00	6.594172e-02	6.802750e+00	6.830361e+00	9.544014e+00	8.161601e+00	9.504814e+00	9.776201e+00	4.146638e+00	23.244000
FCB	BVB	1	493080000	5.620671e+00	5.620671e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	8	13	2	0	5.864301e+00	5.122446e+00	6.634911e+00	5.290052e+00	2.547571e+00	5.116764e+00	9.511761e+00	7.505587e+00	2.992644e+00	23.244000
FCB	BVB	1	493120000	nan	6.061683e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	0	0	6.372071e+00	9.488966e+00	4.376736e+00	6.335949e+00	nan	9.585091e-01	9.706935e+00	9.359633e+00	1.894665e+00	20.685000
FCB	BVB	1	493160000	nan	6.533957e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	13	1	0	6.277598e+00	9.535993e+00	3.838318e+00	6.164492e+00	nan	nan	9.785085e+00	7.089085e+00	3.047132e+00	18.128000
FCB	BVB	1	493200000	4.493502e+00	4.493502e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	12	4	0	4.012995e+00	7.755929e+00	1.395331e+00	6.056372e+00	-2.012412e-01	-2.201963e-01	9.910553e+00	9.420905e+00	2.310868e+00	23.369000
FCB	BVB	1	493240000	4.657997e+00	4.657997e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	7	0	6.028221e+00	7.083388e+00	2.127986e+00	6.679870e+00	-2.186135e-01	-2.222470e-01	9.142467e+00	8.457917e+00	2.842981e+00	23.665000
FCB	BVB	1	493280000	4.993080e+00	4.993080e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	12	9	0	6.087742e+00	7.796462e+00	3.243909e+00	7.241604e+00	-2.428957e-01	-2.405079e-01	9.189249e+00	8.226703e+00	3.635453e+00	23.588000
FCB	BVB	1	493320000	4.769095e+00	4.769095e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	10	0	3.597535e+00	5.748477e+00	7.780928e+00	6.692277e+00	-2.435763e-01	-2.341027e-01	7.650989e+00	8.146191e+00	3.783133e+00	23.619000
FCB	BVB	1	493360000	4.889420e+00	4.889420e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	10	0	5.453964e+00	7.033646e+00	8.547723e+00	8.521874e+00	-2.428433e-01	-2.323090e-01	8.506414e+00	6.648105e+00	-2.317923e-01	23.713000
FCB	BVB	1	493400000	4.839317e+00	4.839317e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	8	0	6.019264e+00	6.716412e+00	8.389534e+00	8.352931e+00	-2.306047e-01	-2.304369e-01	7.755833e+00	6.760685e+00	2.023662e-02	23.337000
FCB	BVB	1	493440000	4.941270e+00	4.941270e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	13	5	0	5.545875e+00	7.234107e+00	8.496469e+00	7.890888e+00	-2.140938e-01	-2.294169e-01	7.740715e+00	7.277007e+00	7.298831e-01	23.229000
FCB	BVB	1	493480000	5.756678e+00	5.756678e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	12	3	0	6.365393e+00	7.337615e+00	8.555959e+00	9.913396e+00	-2.183000e-01	-1.254546e-01	7.974869e+00	5.491924e+00	6.514704e+00	23.245000
