FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	1258080000	6.690888e+00	6.690888e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	10	8	11	13	13	8.004833e+00	6.209406e+00	8.529575e+00	8.392533e+00	6.011124e+00	6.655634e+00	7.258723e+00	2.526055e-01	8.903556e+00	25.185000
FCB	BVB	1	1258120000	6.187215e+00	6.187215e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	11	7	9	13	12	8.047375e+00	5.918576e+00	7.928252e+00	4.346598e+00	6.802528e+00	6.709263e+00	6.823572e+00	6.525527e-01	8.456219e+00	24.570000
FCB	BVB	1	1258160000	5.880062e+00	5.880062e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	11	9	11	13	12	9.219837e+00	6.066149e+00	8.180491e+00	2.831257e+00	5.405661e+00	6.437515e+00	6.543957e+00	-6.481934e-02	8.300509e+00	24.570000
FCB	BVB	1	1258200000	6.751506e+00	6.751506e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	9	10	11	13	13	7.406536e+00	5.571713e+00	9.244664e+00	6.069965e+00	7.141352e+00	7.543836e+00	8.435585e+00	5.324066e-01	8.817493e+00	24.617000
FCB	BVB	1	1258240000	6.402952e+00	6.402952e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	7	10	11	12	12	7.391001e+00	6.082986e+00	8.682680e+00	5.450515e+00	6.935953e+00	6.891756e+00	8.192381e+00	2.842443e-01	7.715056e+00	24.477000
FCB	BVB	1	1258280000	6.362254e+00	6.362254e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	8	10	11	13	12	8.085761e+00	5.750616e+00	8.324424e+00	5.460029e+00	8.397883e+00	6.394362e+00	6.367089e+00	3.402954e-01	8.139829e+00	24.679000
FCB	BVB	1	1258320000	5.897229e+00	5.897229e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	9	10	12	12	12	7.781921e+00	7.715388e+00	6.636675e+00	2.064911e+00	6.470559e+00	6.973000e+00	6.325554e+00	2.801959e-01	8.826861e+00	24.710000
FCB	BVB	1	1258360000	6.377141e+00	6.377141e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	9	13	13	13	7.937394e+00	8.558912e+00	7.301542e+00	1.736291e+00	8.203906e+00	7.703477e+00	7.457250e+00	3.734849e-01	8.122009e+00	24.757000
FCB	BVB	1	1258400000	6.360033e+00	6.360033e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	11	12	13	13	8.814364e+00	7.342821e+00	7.563977e+00	-2.523519e-01	7.953459e+00	8.740879e+00	7.691327e+00	6.633058e-01	8.722514e+00	24.913000
FCB	BVB	1	1258440000	6.028623e+00	6.028623e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	13	12	6.958640e+00	7.448692e+00	6.994105e+00	5.615308e+00	8.128632e+00	6.991556e+00	4.993959e+00	6.314695e-01	6.495244e+00	24.960000
