FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	2669240000	7.431202e-01	7.431202e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	11	4	13	11	13	10	11	1.051344e-01	-3.664023e-01	2.341202e+00	2.400247e+00	-4.149496e-01	3.934901e-01	41.043000
BVB	FCB	1	2669280000	9.227018e-01	9.227018e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	4	10	11	12	11	11	1.278834e+00	-4.245361e-01	2.634841e+00	1.298521e+00	-2.050983e-01	9.536497e-01	34.320000
BVB	FCB	1	2669320000	9.894702e-02	9.894702e-02	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	5	10	11	13	11	10	8.065723e-01	-4.707440e-01	-3.285179e-01	-2.056403e-01	-1.294984e-01	9.215104e-01	34.290000
BVB	FCB	1	2669360000	7.195532e-01	7.195532e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	6	9	12	12	11	10	1.270812e+00	-4.770048e-01	1.138135e+00	8.951585e-01	5.694303e-01	9.207882e-01	34.102000
BVB	FCB	1	2669400000	9.292336e-01	9.292336e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	6	8	11	11	12	11	1.408279e+00	-4.617653e-01	3.183250e+00	-6.200154e-02	6.871719e-01	8.204680e-01	34.117000
BVB	FCB	1	2669440000	1.134082e+00	1.134082e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	7	7	12	12	12	13	4.038946e+00	-4.958966e-01	1.839826e+00	9.572466e-01	5.017867e-01	-3.741679e-02	34.772000
BVB	FCB	1	2669480000	1.089471e+00	1.089471e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	11	6	8	12	11	13	12	2.128713e+00	-4.231778e-01	1.383990e+00	2.415933e+00	5.473880e-01	4.839770e-01	34.445000
BVB	FCB	1	2669520000	1.772646e+00	1.772646e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	11	5	10	11	11	12	13	7.801175e-01	-3.647071e-01	3.497134e+00	4.770306e+00	1.144853e+00	8.081730e-01	34.492000
BVB	FCB	1	2669560000	1.682293e+00	1.682293e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	12	4	8	12	11	9	13	2.298019e+00	-4.100900e-01	2.267933e+00	6.850208e-01	4.129033e+00	1.123844e+00	34.444000
BVB	FCB	1	2669600000	nan	2.588991e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	13	3	9	12	11	7	13	5.029349e+00	-4.419968e-01	1.969446e+00	nan	4.654591e+00	1.733567e+00	28.548000
BVB	FCB	1	2669640000	nan	2.560795e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	13	12	2	11	12	12	7	12	5.463229e+00	-3.754138e-01	-3.289725e-01	nan	5.719769e+00	2.325363e+00	28.705000
BVB	FCB	1	2669680000	2.220771e+00	2.220771e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	13	0	10	12	12	7	13	5.278751e+00	-3.547296e-01	-3.115693e-01	-1.990668e-02	5.994154e+00	2.737929e+00	34.367000
BVB	FCB	1	2669720000	2.126366e+00	2.126366e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	13	13	1	11	11	10	7	12	3.093261e+00	-3.358072e-01	3.865729e-01	1.876687e+00	5.031611e+00	2.705871e+00	33.696000
BVB	FCB	1	2669760000	1.945406e+00	1.945406e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	12	2	11	13	7	9	13	3.389136e+00	-3.660332e-01	2.695768e-02	2.545218e+00	3.723526e+00	2.353633e+00	34.117000
BVB	FCB	1	2669800000	1.554655e+00	1.554655e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	13	3	12	13	6	11	13	2.676576e+00	-3.317209e-01	-3.292726e-01	2.320958e+00	4.616992e+00	3.743948e-01	34.462000
BVB	FCB	1	2669840000	1.470706e+00	1.470706e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	13	13	5	12	12	6	10	13	4.221555e+00	-3.072123e-01	-2.895706e-01	1.483815e+00	4.010429e+00	-2.947781e-01	34.477000
BVB	FCB	1	2669880000	1.323055e+00	1.323055e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	11	6	11	12	6	7	12	3.067080e+00	-3.196829e-01	-2.866534e-01	2.396134e+00	3.403051e+00	-3.215996e-01	33.774000
BVB	FCB	1	2669920000	1.500306e+00	1.500306e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	11	6	11	12	9	7	12	5.747284e+00	3.443643e-03	-2.914596e-01	1.228238e+00	2.635490e+00	-3.211575e-01	34.320000
BVB	FCB	1	2669960000	1.878027e+00	1.878027e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	12	4	11	12	11	6	12	6.378733e+00	8.430228e-01	-3.550854e-01	2.265346e+00	2.445181e+00	-3.090359e-01	34.305000
BVB	FCB	1	2670000000	2.464791e+00	2.464791e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	11	4	10	11	12	7	11	7.625269e+00	2.508203e+00	-3.630160e-01	2.696992e+00	2.669445e+00	-3.481447e-01	34.024000
BVB	FCB	1	2670040000	2.138531e+00	2.138531e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	12	2	11	11	13	9	12	5.270296e+00	2.242340e+00	-3.458540e-01	3.423617e+00	2.584813e+00	-3.440261e-01	34.445000
BVB	FCB	1	2670080000	2.082490e+00	2.082490e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	12	1	12	13	12	11	11	5.230563e+00	2.432563e+00	-3.202978e-01	4.143479e+00	1.357493e+00	-3.488633e-01	34.445000
BVB	FCB	1	2670120000	1.391783e+00	1.391783e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	12	1	13	13	13	12	11	5.964391e+00	-3.494233e-01	-3.592706e-01	2.361502e+00	1.080695e+00	-3.471939e-01	34.477000
BVB	FCB	1	2670160000	1.637063e+00	1.637063e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	12	1	12	12	11	10	12	2.278763e+00	2.191442e+00	-3.533490e-01	5.448651e+00	6.517317e-01	-3.948578e-01	34.367000
BVB	FCB	1	2670200000	1.451729e+00	1.451729e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	0	12	11	11	9	12	3.655661e+00	6.612861e-01	1.574558e-01	3.613847e+00	9.786877e-01	-3.565664e-01	34.507000
BVB	FCB	1	2670240000	7.293595e-01	7.293595e-01	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	0	11	11	12	9	13	2.124529e+00	-1.208533e-01	1.365727e+00	-3.533333e-01	1.729749e+00	-3.696618e-01	34.429000
BVB	FCB	1	2670280000	1.322454e+00	1.322454e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	14	10	0	11	12	11	9	12	4.631133e+00	-3.207432e-01	1.764694e+00	-3.419294e-01	2.534861e+00	-3.332937e-01	34.149000
BVB	FCB	1	2670320000	2.057820e+00	2.057820e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	0	12	12	12	10	13	4.998045e+00	-3.134602e-01	1.692116e+00	6.826577e-02	6.234137e+00	-3.321859e-01	34.429000
BVB	FCB	1	2670360000	2.190640e+00	2.190640e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	13	11	1	11	12	12	11	13	5.470264e+00	-3.283961e-01	2.219871e+00	-2.902248e-01	6.384796e+00	-3.124722e-01	34.414000
BVB	FCB	1	2670400000	3.695074e+00	3.695074e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	13	11	2	11	11	12	10	12	5.835840e+00	-2.477129e-01	2.448342e+00	6.912471e+00	5.170799e+00	2.050704e+00	34.212000
BVB	FCB	1	2670440000	3.042279e+00	3.042279e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	13	12	3	11	12	12	8	13	6.102455e+00	-7.237610e-03	2.480717e+00	7.291702e+00	2.371793e+00	1.424206e-02	34.273000
BVB	FCB	1	2670480000	2.524104e+00	2.524104e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	11	12	4	11	12	12	9	12	6.266046e+00	5.056124e-01	1.187581e+00	6.980722e+00	-1.974895e-02	2.244128e-01	34.164000
BVB	FCB	1	2670520000	2.061766e+00	2.061766e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	12	13	5	11	11	13	10	13	5.529240e+00	1.857652e+00	1.672986e+00	2.572604e+00	3.979672e-01	3.401482e-01	34.366000
BVB	FCB	1	2670560000	2.121341e+00	2.121341e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	11	12	7	10	12	13	9	12	4.451766e+00	2.878567e+00	1.402508e+00	2.347419e+00	7.161508e-01	9.316336e-01	34.352000
BVB	FCB	1	2670600000	2.861440e+00	2.861440e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	12	7	12	13	12	11	13	5.989423e+00	2.733644e+00	1.333197e+00	4.919902e+00	7.166082e-01	1.475863e+00	34.757000
