FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	750000000	nan	7.475582e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	4	12	10	0	1.408164e+00	4.849238e+00	-2.652724e-01	-3.097736e-01	-2.797434e-01	-5.277278e-02	-2.267227e-01	8.573476e-01	nan	94.143000
FCB	BVB	1	750040000	nan	5.657470e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	5	10	10	0	8.527899e-01	4.068702e+00	-3.408091e-01	-1.106213e-01	-2.696274e-01	-1.657155e-01	-3.846226e-01	8.758801e-01	nan	66.737000
FCB	BVB	1	750080000	nan	2.410327e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	7	9	11	0	8.506181e-02	3.220081e+00	-3.100817e-01	-2.998814e-01	-3.055435e-01	-3.418705e-01	-2.333768e-01	1.138729e-01	nan	61.089000
FCB	BVB	1	750120000	nan	2.223790e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	10	12	0	-2.603016e-01	3.404135e+00	-3.580338e-01	-4.213664e-01	2.998255e-01	-3.151348e-01	-3.493409e-01	-2.207510e-01	nan	79.357000
FCB	BVB	1	750160000	nan	1.017597e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	10	13	0	3.466554e-02	4.614569e+00	-3.576516e-01	-3.650242e-01	3.955077e+00	-4.116035e-01	nan	-3.468510e-01	nan	61.074000
FCB	BVB	1	750200000	nan	1.085788e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	10	12	0	9.242139e-01	5.172906e+00	-3.188328e-01	-3.557548e-01	1.722835e+00	-3.334917e-01	nan	7.886439e-01	nan	41.168000
FCB	BVB	1	750240000	nan	9.631929e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	9	12	12	0	2.346109e+00	5.890706e+00	-3.877992e-01	-3.765590e-01	-3.365513e-01	-3.115456e-01	-3.694964e-01	1.250680e+00	nan	62.431000
FCB	BVB	1	750280000	nan	1.459743e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	13	0	2.808242e+00	4.225816e+00	-3.802051e-01	3.185386e+00	-3.488270e-02	-3.258116e-01	3.615680e-01	1.837830e+00	nan	51.761000
FCB	BVB	1	750320000	nan	1.454736e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	12	0	2.809859e+00	2.769561e+00	-3.586033e-01	4.543916e+00	-2.191116e-01	-3.631717e-01	7.604795e-01	1.694961e+00	nan	79.030000
FCB	BVB	1	750360000	nan	7.710416e-01	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	9	12	13	0	2.766954e+00	3.521115e+00	-3.719807e-01	-3.614839e-01	-2.156830e-01	-3.667333e-01	-3.655344e-01	1.561680e+00	nan	65.115000
