FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	518840000	nan	7.517683e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	9	13	12	12	11	13	-2.227190e-01	-2.040614e-01	4.470047e+00	-2.182604e-01	-6.616459e-02	nan	54.194000
BVB	FCB	1	518880000	nan	9.981412e-01	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	9	13	13	12	13	12	1.696142e-01	-9.731374e-02	4.895759e+00	1.896182e-01	-1.669716e-01	nan	60.373000
BVB	FCB	1	518920000	nan	1.616293e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	13	9	13	12	13	13	13	1.356299e+00	2.024503e+00	3.986328e+00	4.922077e-01	2.221293e-01	nan	60.513000
BVB	FCB	1	518960000	nan	1.682993e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	8	12	13	12	13	12	1.442055e+00	2.486956e+00	3.076315e+00	9.943377e-01	4.153033e-01	nan	60.263000
BVB	FCB	1	519000000	nan	3.230877e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	10	13	12	13	13	13	5.990071e+00	2.933620e+00	2.065989e+00	5.133657e+00	3.104692e-02	nan	60.497000
BVB	FCB	1	519040000	nan	2.256320e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	13	10	13	12	12	13	13	4.294131e+00	1.190088e+00	8.425267e-01	4.579316e+00	3.755359e-01	nan	60.325000
BVB	FCB	1	519080000	nan	2.784698e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	10	12	12	12	12	12	6.125833e+00	1.049152e+00	1.378576e+00	5.426548e+00	-5.661986e-02	nan	59.905000
BVB	FCB	1	519120000	nan	3.070878e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	11	13	14	13	13	13	6.021165e+00	1.167921e+00	1.975056e+00	5.413608e+00	7.766391e-01	nan	61.199000
BVB	FCB	1	519160000	nan	3.612590e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	11	12	12	12	13	13	5.460628e+00	4.767611e+00	1.912508e+00	5.075735e+00	8.464706e-01	nan	60.453000
BVB	FCB	1	519200000	nan	2.393068e+00	1	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	10	13	13	13	13	12	6.802086e+00	3.592441e+00	1.774797e+00	-1.560119e-01	-4.797061e-02	nan	60.512000
