FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	2250000000	nan	2.214993e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	0	13	10	2.871202e+00	-3.441294e-01	9.187214e-02	nan	-3.010759e-01	5.413807e+00	6.229542e+00	7.374892e-01	3.021237e+00	63.926000
FCB	BVB	1	2250040000	nan	3.050401e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	12	7	6.357596e+00	-3.764411e-01	-2.209801e-01	nan	-3.663953e-01	5.241993e+00	6.247113e+00	4.800279e+00	2.720044e+00	62.899000
FCB	BVB	1	2250080000	1.648422e+00	1.648422e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	0	13	5	4.642207e+00	-2.785046e-01	-2.916717e-01	3.149741e+00	6.682787e-01	2.373993e+00	4.749652e+00	3.917811e-02	-2.170747e-01	71.105000
FCB	BVB	1	2250120000	1.675561e+00	1.675561e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	0	13	6	4.102380e+00	-2.653370e-01	-2.994043e-01	3.696666e+00	2.725956e-01	2.682533e+00	-2.979504e-01	3.161405e+00	2.027164e+00	70.996000
FCB	BVB	1	2250160000	1.292823e+00	1.292823e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	0	12	4	3.766238e-01	-3.260547e-01	-2.624144e-01	4.504271e+00	1.937036e-01	3.957690e+00	-3.109904e-01	2.633859e+00	8.687166e-01	70.778000
FCB	BVB	1	2250200000	1.053693e+00	1.053693e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	0	12	6	2.862406e+00	-3.542062e-01	-2.895705e-01	-2.809401e-01	4.596853e-02	4.355718e+00	-3.078088e-01	2.980230e+00	4.714425e-01	70.481000
FCB	BVB	1	2250240000	9.059024e-01	9.059024e-01	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	0	12	8	2.522396e+00	-3.291577e-01	-3.240847e-01	-3.293190e-01	-3.245217e-01	4.589015e+00	-2.728894e-01	2.088676e+00	5.330065e-01	70.652000
FCB	BVB	1	2250280000	4.053197e-01	4.053197e-01	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	12	0	13	9	7.642170e-01	-3.207761e-01	-3.513889e-01	-3.209514e-01	-2.896477e-01	4.179581e+00	-3.101099e-01	1.570477e-01	1.399063e-01	70.496000
FCB	BVB	1	2250320000	1.357053e+00	1.357053e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	8	13	0	12	8	2.398391e+00	-3.873655e-01	2.072949e-01	1.859269e+00	1.300765e+00	5.296277e+00	-3.419006e-01	1.578299e+00	3.024451e-01	70.981000
FCB	BVB	1	2250360000	2.039467e+00	2.039467e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	5	13	0	12	8	1.617488e+00	-3.962808e-01	1.437752e+00	1.641023e+00	3.958200e+00	4.315467e+00	1.043109e+00	1.925675e+00	2.812767e+00	69.700000
FCB	BVB	1	2250400000	3.170070e+00	3.170070e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	5	13	0	13	8	7.060304e-01	-3.033637e-01	5.316909e+00	3.293714e+00	3.576195e+00	3.407942e+00	4.950247e+00	3.185376e+00	4.397579e+00	70.169000
FCB	BVB	1	2250440000	2.785093e+00	2.785093e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	5	13	0	12	8	3.384996e-01	7.399562e-01	5.008434e+00	4.155195e-01	4.191706e+00	3.270745e+00	4.141530e+00	3.058289e+00	3.901161e+00	69.545000
FCB	BVB	1	2250480000	3.060343e+00	3.060343e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	7	12	0	13	9	2.997015e+00	3.947010e+00	4.005865e+00	1.308588e+00	2.852215e+00	2.729955e+00	3.651389e+00	2.652147e+00	3.398900e+00	70.965000
FCB	BVB	1	2250520000	2.314390e+00	2.314390e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	8	13	0	13	11	1.575659e+00	3.506792e+00	1.904444e+00	-8.836884e-03	3.018502e+00	2.367970e-01	3.351568e+00	2.833825e+00	4.410760e+00	70.596000
FCB	BVB	1	2250560000	1.982364e+00	1.982364e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	12	0	12	12	-8.759336e-02	9.481212e-01	2.964108e+00	3.033715e-01	2.820287e+00	-2.910530e-01	4.541914e+00	2.933774e+00	3.708346e+00	71.074000
FCB	BVB	1	2250600000	1.950371e+00	1.950371e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	13	0	13	12	-7.256895e-02	1.064257e+00	3.316841e+00	2.166853e-02	1.992721e+00	-2.760860e-01	4.520630e+00	2.566937e+00	4.418942e+00	70.528000
FCB	BVB	1	2250640000	nan	2.893440e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	0	12	12	3.756234e+00	3.762616e+00	3.071039e+00	1.566236e+00	3.761902e+00	-3.024104e-01	5.106485e+00	2.425420e+00	nan	63.476000
FCB	BVB	1	2250680000	nan	2.720581e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	0	12	12	2.136542e-01	2.937672e+00	3.979071e+00	3.898242e+00	1.951251e+00	-3.050676e-01	4.855758e+00	4.234069e+00	nan	63.164000
FCB	BVB	1	2250720000	nan	2.092727e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	13	0	10	11	3.237118e+00	3.465028e+00	3.905197e+00	-5.967917e-02	2.097299e+00	-3.067518e-01	3.672993e+00	7.306139e-01	nan	62.758000
FCB	BVB	1	2250760000	nan	4.026257e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	0	7	11	4.729982e+00	2.380737e+00	6.055025e+00	2.744865e+00	3.339145e+00	3.810636e-01	6.953910e+00	5.625332e+00	nan	62.447000
FCB	BVB	1	2250800000	4.781885e+00	4.781885e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	0	5	12	3.227754e+00	-2.309741e-01	6.941874e+00	5.086708e+00	3.119371e+00	5.487301e+00	6.758276e+00	5.776905e+00	6.869745e+00	70.715000
FCB	BVB	1	2250840000	nan	3.490186e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	0	2	11	nan	-2.708484e-01	6.357617e+00	5.388519e+00	2.961109e+00	5.801456e+00	6.029826e+00	1.958291e+00	-3.044845e-01	61.417000
FCB	BVB	1	2250880000	nan	3.211579e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	13	0	1	13	nan	-3.582199e-01	4.718178e+00	2.958750e+00	4.311751e+00	1.994865e+00	4.705928e+00	5.754048e+00	1.607336e+00	62.150000
FCB	BVB	1	2250920000	1.945040e+00	1.945040e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	0	3	13	-2.905938e-01	-3.064618e-01	3.417740e+00	3.309972e+00	2.087627e+00	1.390700e+00	1.772493e+00	6.160202e+00	-3.631997e-02	71.355000
FCB	BVB	1	2250960000	1.443553e+00	1.443553e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	10	0	5	12	-6.605237e-02	-3.160846e-01	3.108501e+00	-5.612809e-02	4.159660e+00	4.459770e-01	1.133532e+00	4.594849e+00	-1.228128e-02	69.950000
FCB	BVB	1	2251000000	8.421319e-01	8.421319e-01	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	0	8	13	-3.776354e-01	-3.928882e-01	-5.337001e-02	1.204648e+00	2.338822e+00	1.703335e+00	5.207459e-01	1.515934e+00	1.119596e+00	70.231000
FCB	BVB	1	2251040000	7.973449e-01	7.973449e-01	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	0	10	12	-2.701370e-01	-3.042641e-01	4.446273e+00	-3.109612e-01	2.012981e+00	1.553920e+00	-2.027262e-01	5.685096e-02	1.941674e-01	70.186000
FCB	BVB	1	2251080000	4.187071e-01	4.187071e-01	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	9	0	12	13	3.816400e-02	-3.329851e-01	3.337222e+00	-3.258150e-01	1.529214e+00	2.452249e-01	-1.988874e-01	-2.500627e-01	-2.737110e-01	70.590000
FCB	BVB	1	2251120000	nan	5.178167e-01	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	0	12	13	2.107190e-01	-3.476268e-01	3.061708e+00	nan	1.020402e+00	1.042021e-01	-2.033916e-01	-2.212950e-01	nan	55.802000
FCB	BVB	1	2251160000	1.265233e+00	1.265233e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	0	11	12	3.876688e+00	5.274560e-01	2.927383e+00	-3.135316e-01	8.634456e-01	4.169915e-02	3.029248e+00	-2.022300e-01	6.369418e-01	70.730000
FCB	BVB	1	2251200000	1.857391e+00	1.857391e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	9	0	12	13	4.166939e+00	5.238900e+00	2.395407e+00	-3.468727e-01	8.776346e-01	-4.781180e-03	-8.894352e-02	-3.267312e-01	4.804965e+00	71.215000
