FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	0	nan	4.328606e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	6	6	4	0	0	5.107117e+00	-4.525733e-02	nan	8.793167e+00	-1.409201e-01	nan	6.184846e+00	2.678571e+00	7.722720e+00	51.623000
FCB	BVB	1	40000	nan	4.188055e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	9	8	4	0	0	5.231737e+00	-4.079325e-02	nan	9.047834e+00	-2.828382e-01	nan	6.702864e+00	4.345507e-01	8.223029e+00	52.660000
FCB	BVB	1	80000	nan	3.116310e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	10	4	0	0	6.975424e+00	-9.621153e-02	nan	3.948130e-01	-2.174195e-01	nan	5.826451e+00	-1.847517e-01	9.115864e+00	53.757000
FCB	BVB	1	120000	nan	2.528817e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	3	0	0	8.112119e+00	-3.067473e-03	nan	5.199594e-01	-2.123664e-01	-2.105208e-01	5.376772e+00	-1.862488e-01	6.833888e+00	60.856000
FCB	BVB	1	160000	nan	2.983180e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	0	0	0	9.216270e+00	-1.279046e-02	nan	6.860388e-01	-1.855832e-01	-2.089254e-01	7.448171e+00	-2.105957e-01	7.132854e+00	61.308000
FCB	BVB	1	200000	nan	3.334409e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	0	0	0	9.425029e+00	-1.199793e-01	nan	9.304964e-01	-8.799517e-02	-2.076975e-01	8.723696e+00	-2.090230e-01	8.220747e+00	59.997000
FCB	BVB	1	240000	nan	5.723162e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	0	0	0	9.366778e+00	6.019200e+00	nan	9.037274e+00	nan	-2.074338e-01	8.338950e+00	-2.077277e-01	7.715093e+00	53.524000
FCB	BVB	1	280000	nan	6.029483e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	8	0	0	0	9.019288e+00	9.105554e+00	nan	7.683433e+00	nan	-2.191025e-01	9.247918e+00	-2.134948e-01	7.582785e+00	52.728000
FCB	BVB	1	320000	nan	5.166320e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	0	0	0	7.001295e+00	8.577277e+00	nan	7.448328e+00	nan	-2.067683e-01	7.343005e+00	-2.053930e-01	6.206496e+00	52.744000
FCB	BVB	1	360000	nan	4.619362e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	9	0	0	0	6.159868e+00	6.361118e+00	7.986914e+00	7.780384e+00	nan	-2.267387e-01	4.891983e+00	-2.300417e-01	4.231406e+00	60.216000
FCB	BVB	1	400000	nan	7.068248e+00	2	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	10	0	0	0	8.352283e+00	8.983455e+00	8.251848e+00	8.146739e+00	nan	nan	1.009369e+01	-2.230791e-01	5.872800e+00	53.554000
FCB	BVB	1	440000	nan	6.991704e+00	3	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	0	0	0	8.513632e+00	8.277873e+00	nan	9.171750e+00	nan	nan	1.014196e+01	-1.934670e-01	6.038469e+00	45.366000
FCB	BVB	1	480000	nan	5.273607e+00	3	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	0	0	0	7.567656e+00	-2.127423e-01	nan	1.038642e+01	nan	nan	6.605742e+00	-2.220711e-01	7.516636e+00	45.864000
FCB	BVB	1	520000	nan	7.666601e+00	4	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	0	0	0	7.592502e+00	nan	nan	8.038189e+00	nan	nan	8.069301e+00	7.137291e+00	7.495721e+00	38.594000
FCB	BVB	1	560000	nan	6.587982e+00	3	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	0	0	0	7.271127e+00	1.419582e+00	nan	7.933568e+00	nan	nan	9.086352e+00	7.492128e+00	6.325134e+00	45.801000
FCB	BVB	1	600000	nan	6.627113e+00	3	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	0	0	0	5.129345e+00	-2.152871e-01	nan	1.029942e+01	nan	nan	9.721191e+00	7.393913e+00	7.434103e+00	45.240000
FCB	BVB	1	640000	nan	6.627028e+00	3	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	0	0	0	7.678370e+00	-1.563017e-01	nan	8.646847e+00	nan	nan	8.665373e+00	6.888497e+00	8.039381e+00	46.270000
