FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	FCB	1	1404880000	2.201400e+00	2.201400e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	13	12	12	8	10	-2.728899e-01	2.227498e+00	5.084020e+00	6.645704e+00	-1.596321e-01	-3.163028e-01	17.854000
BVB	FCB	1	1404920000	3.135366e+00	3.135366e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	9	11	11	13	7	13	2.076926e-01	3.432748e+00	5.699052e+00	8.506890e+00	1.318117e+00	-3.523016e-01	17.815000
BVB	FCB	1	1404960000	3.638168e+00	3.638168e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	12	9	11	12	12	6	14	-2.318520e-02	5.098625e+00	4.662568e+00	5.285172e+00	7.143386e+00	-3.375567e-01	17.722000
BVB	FCB	1	1405000000	3.521729e+00	3.521729e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	9	12	8	11	12	13	7	13	-2.907716e-01	5.923613e+00	2.119778e+00	7.268482e+00	6.406756e+00	-2.974849e-01	17.566000
BVB	FCB	1	1405040000	5.294895e+00	5.294895e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	8	13	7	10	12	12	8	12	8.593541e+00	8.537386e+00	2.118828e+00	7.954941e+00	4.898492e+00	-3.338179e-01	17.519000
BVB	FCB	1	1405080000	4.956267e+00	4.956267e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	7	12	9	9	12	13	11	10	6.086144e+00	7.027792e+00	4.433432e+00	7.091640e+00	5.222394e+00	-1.238014e-01	17.503000
BVB	FCB	1	1405120000	5.492717e+00	5.492717e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	8	13	8	9	12	13	13	11	6.757092e+00	7.246294e+00	4.005991e+00	8.307053e+00	6.631504e+00	8.369415e-03	17.550000
BVB	FCB	1	1405160000	5.547973e+00	5.547973e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	7	13	8	10	13	12	12	11	6.342780e+00	4.816935e+00	5.581487e+00	8.154100e+00	8.655698e+00	-2.631635e-01	17.597000
BVB	FCB	1	1405200000	5.878614e+00	5.878614e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	9	14	8	9	13	12	13	11	6.032634e+00	6.639978e+00	6.208891e+00	7.711670e+00	8.859762e+00	-1.812532e-01	17.769000
BVB	FCB	1	1405240000	6.290275e+00	6.290275e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	9	10	12	13	13	11	6.998904e+00	6.755824e+00	7.301587e+00	7.651765e+00	9.215552e+00	-1.819826e-01	17.784000
BVB	FCB	1	1405280000	6.160196e+00	6.160196e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	8	9	13	12	12	12	7.616929e+00	8.276554e+00	7.097795e+00	8.398648e+00	5.800029e+00	-2.287799e-01	17.628000
BVB	FCB	1	1405320000	7.164368e+00	7.164368e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	7	10	13	13	12	13	9.231535e+00	9.192258e+00	8.236601e+00	9.501063e+00	6.996028e+00	-1.712748e-01	17.831000
BVB	FCB	1	1405360000	7.377376e+00	7.377376e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	8	11	12	12	12	12	9.872164e+00	8.550172e+00	8.641166e+00	9.299909e+00	8.126134e+00	-2.252901e-01	17.706000
BVB	FCB	1	1405400000	7.434792e+00	7.434792e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	8	11	12	13	13	12	9.949330e+00	8.414516e+00	9.056053e+00	9.468700e+00	7.938829e+00	-2.186764e-01	17.846000
BVB	FCB	1	1405440000	7.275828e+00	7.275828e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	9	12	11	13	13	12	1.032061e+01	8.974206e+00	8.795746e+00	8.792329e+00	7.026940e+00	-2.548612e-01	17.893000
BVB	FCB	1	1405480000	7.107969e+00	7.107969e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	8	11	11	13	12	11	9.886116e+00	8.991672e+00	9.419357e+00	9.474944e+00	5.109827e+00	-2.341035e-01	17.722000
BVB	FCB	1	1405520000	5.430225e+00	5.430225e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	9	12	11	13	13	12	9.772186e+00	9.056794e+00	-1.854793e-01	9.862147e+00	4.310733e+00	-2.350329e-01	17.847000
BVB	FCB	1	1405560000	6.729103e+00	6.729103e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	11	11	12	12	12	9.726127e+00	8.626407e+00	9.888676e+00	9.448239e+00	2.818477e+00	-1.333086e-01	17.769000
BVB	FCB	1	1405600000	4.271756e+00	4.271756e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	8	12	10	12	13	11	6.395085e+00	7.977536e+00	1.633339e+00	8.248982e+00	1.579001e+00	-2.034086e-01	17.674000
BVB	FCB	1	1405640000	3.903379e+00	3.903379e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	9	11	11	12	13	13	6.359763e+00	6.732288e+00	2.448823e+00	6.655555e+00	1.433662e+00	-2.098195e-01	17.754000
BVB	FCB	1	1405680000	3.444285e+00	3.444285e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	8	11	12	12	13	12	4.121860e+00	3.737426e+00	4.008162e+00	4.745853e+00	4.327206e+00	-2.747999e-01	17.753000
BVB	FCB	1	1405720000	2.203330e+00	2.203330e+00	0	6	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	8	12	12	13	13	12	2.704566e+00	-3.253316e-01	5.085305e+00	3.187174e+00	2.572373e+00	-4.104203e-03	17.862000
