FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	741720000	2.708374e+00	2.708374e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	13	0	-2.906861e-01	7.661603e+00	-2.937028e-01	6.310714e+00	1.387345e+00	3.753062e+00	6.425992e+00	-2.853530e-01	-2.936113e-01	23.384000
FCB	BVB	1	741760000	2.418489e+00	2.418489e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	13	13	0	-3.135636e-01	3.699151e+00	-2.618559e-01	6.581530e+00	2.124739e+00	5.691936e+00	3.065537e+00	1.472474e+00	-2.935447e-01	23.494000
FCB	BVB	1	741800000	2.162591e+00	2.162591e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	11	0	-3.032919e-01	5.854041e+00	-2.981502e-01	6.431703e+00	7.782744e-01	2.438365e+00	3.413955e+00	1.472371e+00	-3.239464e-01	23.743000
FCB	BVB	1	741840000	3.641827e+00	3.641827e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	11	12	8	0	-2.533512e-01	6.758327e+00	3.996729e+00	5.768031e+00	4.738645e+00	5.705421e+00	6.007910e+00	3.326493e-01	-2.779179e-01	23.431000
FCB	BVB	1	741880000	2.951458e+00	2.951458e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	12	13	6	0	-2.782856e-01	8.826269e+00	-2.573492e-01	1.165799e+00	6.653223e+00	3.760930e+00	6.038418e+00	9.046512e-01	-2.505361e-01	23.307000
FCB	BVB	1	741920000	2.029575e+00	2.029575e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	12	3	0	-2.376041e-01	4.189962e+00	-2.401313e-01	1.838241e+00	4.222456e+00	4.011078e+00	3.989735e+00	7.519816e-01	-2.595417e-01	23.103000
FCB	BVB	1	741960000	3.165280e+00	3.165280e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	11	9	1	0	-2.458561e-01	5.269306e+00	-2.301510e-01	3.565973e+00	6.919170e+00	3.545298e+00	5.324352e+00	4.581690e+00	-2.422646e-01	22.792000
FCB	BVB	1	742000000	3.121617e+00	3.121617e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	11	7	0	0	-2.451173e-01	3.111448e+00	-2.400906e-01	1.360106e+00	5.068054e+00	4.758929e+00	7.801360e+00	6.706759e+00	-2.268904e-01	22.979000
FCB	BVB	1	742040000	3.424102e+00	3.424102e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	10	5	2	0	2.977056e+00	3.978212e+00	-2.299875e-01	3.816511e-01	3.220453e+00	5.497101e+00	7.421974e+00	7.799721e+00	-2.292581e-01	22.761000
FCB	BVB	1	742080000	3.281163e+00	3.281163e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	9	4	5	0	2.282536e+00	2.370844e+00	-2.397525e-01	2.541831e-01	5.296244e+00	3.018499e+00	8.556192e+00	8.213471e+00	-2.217463e-01	22.557000
FCB	BVB	1	742120000	2.814232e+00	2.814232e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	11	9	4	7	0	2.831271e+00	4.916564e+00	-3.053995e-01	1.238711e+00	2.244798e+00	1.940884e+00	5.624085e+00	7.147239e+00	-3.100626e-01	22.464000
FCB	BVB	1	742160000	3.007089e+00	3.007089e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	5	11	10	7	10	0	2.936366e+00	3.980999e+00	-3.032106e-01	1.625256e+00	5.015000e+00	1.779104e+00	7.343656e+00	4.940663e+00	-2.540309e-01	22.792000
FCB	BVB	1	742200000	nan	2.184885e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	5	10	10	9	12	0	2.754657e+00	3.990621e+00	-3.167355e-01	2.301296e-01	nan	2.801623e+00	8.103938e+00	2.475604e-01	-3.327120e-01	20.576000
FCB	BVB	1	742240000	2.476607e+00	2.476607e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	5	11	9	11	12	0	2.954313e+00	1.988152e+00	-3.195064e-01	2.063706e+00	3.738626e+00	4.605740e+00	7.377196e+00	1.488935e-01	-2.676612e-01	23.057000
FCB	BVB	1	742280000	2.253088e+00	2.253088e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	13	9	13	13	0	4.349914e+00	3.403686e+00	-2.689544e-01	2.883433e+00	2.462131e+00	2.664355e+00	5.252401e+00	-2.035991e-01	-2.655730e-01	23.384000
FCB	BVB	1	742320000	2.518213e+00	2.518213e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	9	12	12	0	9.318146e-01	3.262820e+00	-3.198817e-01	4.933974e+00	3.723790e+00	2.153873e+00	8.538563e+00	-2.373632e-01	-3.236702e-01	23.275000
FCB	BVB	1	742360000	1.849870e+00	1.849870e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	9	13	12	0	1.554520e+00	2.232501e+00	-3.205039e-01	2.289861e+00	4.936657e+00	-2.595564e-01	6.738474e+00	-2.847380e-01	-2.383841e-01	23.400000
FCB	BVB	1	742400000	2.043663e+00	2.043663e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	12	13	0	4.321085e+00	2.344738e+00	-2.970480e-01	2.438940e+00	4.931997e+00	-3.175445e-01	5.517941e+00	-2.534547e-01	-2.936905e-01	23.572000
FCB	BVB	1	742440000	2.865403e+00	2.865403e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	13	0	5.548400e+00	5.793353e+00	-2.686818e-01	4.459506e+00	5.750434e+00	-2.922622e-01	5.418390e+00	-3.044132e-01	-3.161038e-01	23.416000
FCB	BVB	1	742480000	3.130943e+00	3.130943e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	13	0	6.437456e+00	5.347068e+00	-2.506003e-01	5.542853e+00	6.500749e+00	-2.482353e-01	5.387568e+00	-2.581322e-01	-2.802406e-01	23.571000
