FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	0	nan	3.872236e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	6	0	5	6	0	6	6	7	6.557422e+00	3.705297e-01	nan	5.896900e+00	1.997401e-01	nan	7.661575e+00	1.354607e-02	6.405937e+00	54.943000
FCB	1	40000	nan	4.188580e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	8	0	7	8	0	9	9	9	7.220890e+00	2.554773e-01	nan	6.776061e+00	-2.009832e-01	nan	8.122825e+00	-1.230013e-01	7.268792e+00	56.068000
FCB	1	80000	nan	3.819093e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	0	8	10	3	11	11	11	8.181817e+00	2.571487e-01	nan	3.006232e+00	-1.716605e-01	nan	8.256716e+00	-1.899572e-01	7.393357e+00	27.050000
FCB	1	120000	nan	2.967539e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	0	9	9	5	13	13	13	7.309961e+00	2.561026e-01	nan	2.783959e+00	-1.956093e-01	-3.242183e-01	7.388614e+00	-1.921451e-01	6.713649e+00	72.791000
FCB	1	160000	nan	2.716486e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	9	0	8	7	8	13	12	13	6.746063e+00	1.211061e-01	nan	1.541000e+00	-1.419773e-01	-3.112749e-01	7.224988e+00	-2.402167e-01	6.792202e+00	29.546000
FCB	1	200000	nan	3.091024e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	0	9	5	10	13	13	13	7.376376e+00	4.822834e-02	nan	1.701076e+00	-2.952877e-01	-2.706694e-01	8.127923e+00	-2.689873e-01	8.309531e+00	34.445000
FCB	1	240000	nan	6.056666e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	0	8	3	12	13	13	13	9.438279e+00	7.073769e+00	nan	8.619756e+00	nan	-2.408768e-01	9.032528e+00	-2.408656e-01	8.714074e+00	84.491000
FCB	1	280000	nan	6.610394e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	11	0	8	0	10	12	12	12	9.890592e+00	9.356747e+00	nan	8.467308e+00	nan	-2.290240e-01	9.694074e+00	-2.213166e-01	9.314376e+00	32.511000
FCB	1	320000	nan	6.669828e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	2	8	0	7	13	13	13	1.012759e+01	9.279343e+00	nan	8.871791e+00	nan	-2.288305e-01	9.983559e+00	-2.113458e-01	8.866691e+00	74.412000
FCB	1	360000	nan	6.929378e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	2	8	0	5	12	13	12	1.007622e+01	8.889779e+00	8.998551e+00	9.971497e+00	nan	-2.289072e-01	9.977661e+00	-1.979295e-01	7.948149e+00	90.589000
FCB	1	400000	nan	8.063030e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	2	9	0	2	13	13	13	9.804900e+00	9.396356e+00	9.151246e+00	1.018532e+01	nan	nan	1.009495e+01	-1.928088e-01	8.001247e+00	25.881000
FCB	1	440000	nan	7.787211e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	7	2	8	0	0	13	13	13	9.657973e+00	9.541777e+00	nan	1.002588e+01	nan	nan	1.005390e+01	-1.976342e-01	7.641369e+00	22.917000
FCB	1	480000	nan	5.924450e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	5	2	9	0	0	12	12	12	8.901479e+00	-2.353383e-01	nan	9.458423e+00	nan	nan	9.957060e+00	-1.971685e-01	7.662244e+00	38.689000
FCB	1	520000	nan	8.282921e+00	4	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	6	0	9	0	0	13	13	13	7.781876e+00	nan	nan	9.791581e+00	nan	nan	8.394540e+00	7.927679e+00	7.518926e+00	38.282000
FCB	1	560000	nan	7.034667e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	5	0	8	0	0	12	12	12	7.412783e+00	2.433338e+00	nan	9.805493e+00	nan	nan	9.138898e+00	7.036225e+00	6.381263e+00	21.778000
FCB	1	600000	nan	6.776803e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	8	0	9	0	0	12	13	12	7.414214e+00	-1.984151e-01	nan	9.760692e+00	nan	nan	9.367706e+00	6.704617e+00	7.612002e+00	68.062000
FCB	1	640000	nan	6.986647e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	0	8	0	0	13	13	13	7.713647e+00	-7.506377e-02	nan	9.726259e+00	nan	nan	9.533538e+00	6.073891e+00	8.947613e+00	35.319000
FCB	1	680000	nan	8.255205e+00	3	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	0	7	0	0	13	12	12	7.628863e+00	6.099784e+00	nan	9.781745e+00	nan	nan	9.614887e+00	7.083661e+00	9.322290e+00	39.266000
