FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	1	2669240000	7.341819e-01	7.341819e-01	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	9	10	13	4	10	3.094006e+00	-3.214760e-01	-2.806259e-01	1.825044e+00	-3.009526e-01	3.890964e-01	19.157000
BVB	1	2669280000	8.382816e-01	8.382816e-01	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	9	8	12	7	10	3.252504e+00	-3.337760e-01	-2.998312e-01	1.844202e+00	-2.938191e-01	8.604101e-01	38.684000
BVB	1	2669320000	1.070658e+00	1.070658e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	8	13	9	10	3.301314e+00	-3.157778e-01	-3.025132e-01	1.328854e+00	2.107579e-01	2.201312e+00	32.542000
BVB	1	2669360000	2.471045e+00	2.471045e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	7	13	10	12	4.140701e+00	-3.011364e-01	-2.934274e-01	9.493895e-01	5.486372e+00	4.844372e+00	32.464000
BVB	1	2669400000	2.436960e+00	2.436960e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	9	12	3.843710e+00	-2.909850e-01	-2.765844e-01	1.405019e+00	4.981008e+00	4.959592e+00	35.037000
BVB	1	2669440000	1.972639e+00	1.972639e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	9	13	10	12	2.510536e+00	-3.426004e-01	-3.298900e-01	1.261010e+00	5.234830e+00	3.501950e+00	38.922000
BVB	1	2669480000	1.469539e+00	1.469539e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	9	11	10	13	-3.473082e-01	-1.319688e-02	-3.124934e-01	1.191339e+00	5.471938e+00	2.826957e+00	33.166000
BVB	1	2669520000	2.111773e+00	2.111773e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	10	9	10	13	3.821215e-02	-3.406554e-01	3.013409e+00	1.263960e+00	5.673834e+00	3.021877e+00	33.618000
BVB	1	2669560000	7.900623e-01	7.900623e-01	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	9	6	11	12	1.286939e+00	-3.394907e-01	6.757473e-01	3.198336e-01	2.082021e+00	7.153239e-01	32.011000
BVB	1	2669600000	nan	8.589491e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	10	5	12	13	2.022052e+00	-3.127976e-01	5.174061e-01	nan	1.768011e+00	3.000739e-01	27.253000
BVB	1	2669640000	nan	7.387642e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	9	9	5	11	13	1.644260e+00	-3.133782e-01	5.004975e-01	nan	1.543217e+00	3.192244e-01	26.598000
BVB	1	2669680000	6.072812e-01	6.072812e-01	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	10	6	12	12	1.784070e+00	-3.265963e-01	7.526403e-01	-3.260414e-01	1.270663e+00	4.889528e-01	32.401000
BVB	1	2669720000	5.966420e-01	5.966420e-01	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	10	8	11	12	1.941992e+00	-3.545939e-01	5.739291e-01	7.492817e-02	9.370447e-01	4.065524e-01	32.542000
