FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	1967960000	6.313719e+00	6.313719e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	12	13	13	11	13	9	6.196580e+00	7.408002e+00	4.644690e+00	6.947158e+00	6.830833e+00	5.661894e+00	7.866174e+00	4.420114e+00	6.848024e+00	26.866000
FCB	1	1968000000	6.472606e+00	6.472606e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	12	12	11	12	11	6.292224e+00	7.668259e+00	4.283764e+00	7.481023e+00	7.000709e+00	6.321345e+00	8.111997e+00	4.786393e+00	6.307743e+00	26.910000
FCB	1	1968040000	6.919623e+00	6.919623e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	12	13	12	12	12	10	6.209562e+00	7.858634e+00	5.501984e+00	7.780017e+00	8.890177e+00	6.849590e+00	8.405560e+00	4.946449e+00	5.834635e+00	26.800000
FCB	1	1968080000	6.787953e+00	6.787953e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	13	12	12	13	11	7	6.739826e+00	8.331089e+00	6.162146e+00	8.088498e+00	9.086335e+00	6.851766e+00	8.990830e+00	4.888035e+00	1.953053e+00	26.364000
FCB	1	1968120000	7.015175e+00	7.015175e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	13	13	12	13	11	5	6.814648e+00	9.078030e+00	5.682741e+00	8.914914e+00	9.325938e+00	6.874160e+00	9.246214e+00	5.248413e+00	1.951513e+00	26.491000
FCB	1	1968160000	nan	7.174268e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	13	13	13	12	10	2	7.603438e+00	9.057742e+00	5.111680e+00	9.149424e+00	9.472889e+00	6.901250e+00	9.257179e+00	8.405457e-01	nan	23.525000
FCB	1	1968200000	nan	7.169372e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	13	12	12	13	11	0	7.254399e+00	9.103546e+00	4.967888e+00	9.010708e+00	9.503161e+00	6.948679e+00	9.388917e+00	1.177682e+00	nan	23.088000
FCB	1	1968240000	nan	7.228394e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	12	13	12	12	12	2	7.095285e+00	9.336451e+00	5.103788e+00	8.890237e+00	9.428733e+00	7.293953e+00	9.443971e+00	1.234734e+00	nan	23.168000
FCB	1	1968280000	nan	7.186285e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	14	12	12	12	12	12	11	4	6.851882e+00	9.239869e+00	5.226921e+00	8.579549e+00	9.415863e+00	7.556459e+00	9.296594e+00	1.323142e+00	nan	25.649000
FCB	1	1968320000	6.533451e+00	6.533451e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	11	12	12	13	13	7	6.382081e+00	8.530032e+00	5.435284e+00	8.009966e+00	8.706528e+00	7.521774e+00	8.751318e+00	1.192963e+00	4.271117e+00	55.850000
FCB	1	1968360000	6.582184e+00	6.582184e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	12	12	13	13	12	9	7.642844e+00	8.612802e+00	5.500174e+00	7.597750e+00	8.570897e+00	7.047335e+00	8.981423e+00	5.307608e+00	-2.117583e-02	107.527000
FCB	1	1968400000	7.022692e+00	7.022692e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	12	11	12	12	13	12	8.129975e+00	9.009931e+00	5.020677e+00	7.759056e+00	9.045633e+00	6.402015e+00	9.324900e+00	8.556835e+00	-4.479629e-02	90.605000
FCB	1	1968440000	7.184628e+00	7.184628e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	12	12	12	13	12	13	8.529838e+00	9.128310e+00	4.751086e+00	7.354591e+00	9.547808e+00	6.700190e+00	9.444683e+00	9.087543e+00	1.175989e-01	98.889000
FCB	1	1968480000	7.102463e+00	7.102463e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	12	11	12	12	12	13	8.302892e+00	9.029424e+00	3.821332e+00	7.254129e+00	8.971077e+00	6.731784e+00	9.272587e+00	9.180809e+00	1.358132e+00	61.245000
FCB	1	1968520000	7.340254e+00	7.340254e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	12	13	12	12	13	13	8.035879e+00	8.763166e+00	4.889708e+00	7.376300e+00	8.713293e+00	7.226827e+00	9.147153e+00	9.174939e+00	2.735022e+00	89.310000
FCB	1	1968560000	7.320351e+00	7.320351e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	13	12	13	13	12	12	7.615285e+00	8.494593e+00	5.426457e+00	7.062219e+00	8.607216e+00	7.523344e+00	9.123603e+00	9.163478e+00	2.866968e+00	94.130000
FCB	1	1968600000	7.229279e+00	7.229279e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	12	12	12	12	12	13	7.750247e+00	8.742244e+00	5.538801e+00	7.348947e+00	8.699414e+00	7.429467e+00	9.282623e+00	9.210808e+00	1.060957e+00	68.641000
FCB	1	1968640000	7.214792e+00	7.214792e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	13	12	12	13	12	13	8.189562e+00	9.006909e+00	5.363638e+00	7.601978e+00	8.288128e+00	7.077442e+00	9.350960e+00	9.418279e+00	6.362322e-01	60.981000
FCB	1	1968680000	7.350680e+00	7.350680e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	12	10	13	12	12	12	8.552307e+00	8.389714e+00	6.822848e+00	7.764963e+00	8.320331e+00	7.066107e+00	9.462376e+00	9.634896e+00	1.425786e-01	54.959000
FCB	1	1968720000	7.610516e+00	7.610516e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	11	11	12	13	12	13	8.733786e+00	8.253057e+00	8.183423e+00	7.910897e+00	9.045111e+00	6.916347e+00	9.674792e+00	9.747907e+00	2.932188e-02	70.184000
FCB	1	1968760000	7.744047e+00	7.744047e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	12	11	13	11	13	12	8.437410e+00	7.847871e+00	8.703637e+00	8.343442e+00	9.562928e+00	6.944781e+00	9.736804e+00	9.800126e+00	3.194269e-01	90.778000
FCB	1	1968800000	7.593443e+00	7.593443e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	11	10	12	11	13	13	8.468999e+00	7.492448e+00	7.709711e+00	8.543557e+00	9.715252e+00	6.904563e+00	9.880369e+00	9.825139e+00	-1.990543e-01	65.339000
FCB	1	1968840000	7.556482e+00	7.556482e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	12	12	12	11	13	13	8.264026e+00	7.423766e+00	7.583819e+00	8.729942e+00	9.617030e+00	7.241599e+00	9.668707e+00	9.678826e+00	-1.993760e-01	86.986000
FCB	1	1968880000	7.587673e+00	7.587673e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	12	12	12	13	10	12	13	8.423903e+00	7.663005e+00	7.922955e+00	8.745541e+00	9.761712e+00	7.134928e+00	9.714135e+00	9.118585e+00	-1.957098e-01	92.383000
FCB	1	1968920000	7.517753e+00	7.517753e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	13	13	12	8	12	13	8.085859e+00	8.059415e+00	7.924353e+00	9.022508e+00	9.736019e+00	7.017776e+00	9.431945e+00	8.509823e+00	-1.279178e-01	86.596000
FCB	1	1968960000	5.935400e+00	5.935400e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	13	13	13	6	13	12	6.828644e+00	6.392274e+00	7.555581e+00	-1.144467e-01	9.333133e+00	6.702460e+00	9.118532e+00	7.741388e+00	-1.389676e-01	96.657000
FCB	1	1969000000	4.199831e+00	4.199831e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	12	12	12	6	13	12	6.616226e+00	5.250049e+00	7.428872e+00	3.402819e-02	7.985988e+00	6.795800e+00	-2.534432e-01	4.121288e+00	-1.803324e-01	85.660000
FCB	1	1969040000	3.837738e+00	3.837738e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	13	13	12	7	12	11	6.740752e+00	4.114817e+00	6.571445e+00	9.794136e-01	7.019369e+00	6.025706e+00	-2.338489e-01	2.932134e+00	3.898555e-01	61.963000
FCB	1	1969080000	2.926020e+00	2.926020e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	12	12	12	7	12	9	2.483251e+00	2.994208e+00	5.143192e+00	2.383117e+00	4.241567e+00	5.173385e+00	-2.336805e-01	2.083689e+00	2.065455e+00	89.856000
FCB	1	1969120000	3.120456e+00	3.120456e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	13	13	11	10	13	10	2.920903e+00	3.294152e+00	4.801297e+00	3.503028e+00	4.706190e+00	5.010905e+00	1.613498e+00	1.326455e+00	9.076721e-01	80.293000
FCB	1	1969160000	4.298004e+00	4.298004e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	13	13	12	12	12	10	2.968634e+00	4.096793e+00	5.418504e+00	3.848874e+00	5.415562e+00	5.526482e+00	3.780846e+00	1.064877e+00	6.561464e+00	79.248000
FCB	1	1969200000	4.339065e+00	4.339065e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	12	11	12	12	9	2.180143e+00	4.835480e+00	6.565429e+00	3.915185e+00	7.011663e+00	5.870983e+00	1.958592e+00	1.497174e+00	5.216937e+00	94.912000
FCB	1	1969240000	4.243932e+00	4.243932e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	13	13	11	12	13	8	1.633844e+00	5.406433e+00	6.657515e+00	4.416379e+00	7.313276e+00	6.888978e+00	1.510283e+00	1.334873e+00	3.033807e+00	84.584000
FCB	1	1969280000	4.413674e+00	4.413674e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	12	12	13	12	12	7	8.341024e-01	5.808763e+00	6.386046e+00	4.373274e+00	7.706245e+00	7.317160e+00	1.363458e+00	1.816588e+00	4.117432e+00	67.424000
FCB	1	1969320000	nan	4.402228e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	13	12	13	12	5	-3.378930e-04	6.000190e+00	6.034667e+00	5.005244e+00	7.668969e+00	7.511522e+00	6.007894e-01	2.396785e+00	nan	68.827000
FCB	1	1969360000	nan	4.376243e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	12	12	13	12	13	4	-2.352624e-01	5.832643e+00	5.136079e+00	5.286868e+00	7.840340e+00	7.637341e+00	6.196486e-01	2.892283e+00	nan	54.055000
FCB	1	1969400000	4.103766e+00	4.103766e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	12	13	12	12	12	12	4	-2.422156e-01	6.749137e+00	5.261127e+00	5.323317e+00	7.903928e+00	7.448969e+00	9.769019e-01	3.143481e+00	3.692479e-01	69.966000
FCB	1	1969440000	4.143008e+00	4.143008e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	13	13	13	13	12	13	7	-2.495692e-01	6.536820e+00	5.724196e+00	5.140275e+00	7.721960e+00	7.151158e+00	1.447936e+00	3.444364e+00	3.699285e-01	86.394000
FCB	1	1969480000	4.391245e+00	4.391245e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	12	12	12	13	12	12	9	2.113881e+00	6.147450e+00	5.968865e+00	4.638423e+00	7.149705e+00	6.651019e+00	2.121397e+00	4.292141e+00	4.383227e-01	62.572000
FCB	1	1969520000	4.705792e+00	4.705792e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	13	13	13	12	13	13	12	4.530789e+00	6.341036e+00	5.856432e+00	4.423924e+00	6.916741e+00	6.555534e+00	2.322947e+00	4.581888e+00	8.228390e-01	70.652000
FCB	1	1969560000	4.494625e+00	4.494625e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	12	13	13	12	13	13	5.363747e+00	3.684255e+00	5.137116e+00	4.305820e+00	6.641583e+00	6.154315e+00	2.933869e+00	4.664628e+00	1.566289e+00	87.642000
FCB	1	1969600000	4.134568e+00	4.134568e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	12	13	12	13	12	5.316582e+00	3.849721e+00	4.267204e+00	2.125270e-01	6.251373e+00	5.174342e+00	4.294994e+00	4.570036e+00	3.274329e+00	64.210000
FCB	1	1969640000	4.315250e+00	4.315250e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	13	13	12	11	13	13	5.405318e+00	3.674202e+00	4.543216e+00	-2.304528e-01	6.468788e+00	5.454467e+00	4.020445e+00	5.767299e+00	3.733966e+00	85.566000
FCB	1	1969680000	4.156685e+00	4.156685e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	13	12	13	9	12	12	4.730379e+00	4.638256e+00	4.384586e+00	-2.040934e-01	6.480585e+00	4.168791e+00	3.482497e+00	5.434542e+00	4.294622e+00	64.428000
FCB	1	1969720000	3.110328e+00	3.110328e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	13	12	12	7	13	10	5.885207e+00	-1.000789e-01	3.951587e+00	-2.353873e-01	5.477201e+00	3.515631e+00	-3.078730e-01	4.698265e+00	5.108396e+00	82.977000
FCB	1	1969760000	2.128454e+00	2.128454e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	12	12	13	6	12	8	4.742771e+00	-1.999640e-01	3.340821e+00	-2.906500e-01	5.172523e+00	9.096176e-02	-3.079282e-01	4.164473e+00	2.443082e+00	75.770000
FCB	1	1969800000	nan	2.207098e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	13	12	11	12	5	13	5	4.167320e+00	-2.844578e-01	2.925081e+00	-3.024868e-01	4.623946e+00	6.221550e-02	nan	4.020286e+00	2.444879e+00	78.280000
FCB	1	1969840000	nan	1.826849e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	13	10	12	13	6	12	3	3.975313e+00	-6.362531e-02	3.071829e+00	-3.226198e-01	4.098342e+00	1.730685e-01	-3.463713e-01	4.028858e+00	nan	78.156000
FCB	1	1969880000	nan	1.974855e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	12	10	11	13	9	12	1	3.471228e+00	3.419131e-01	2.798071e+00	-3.320827e-01	4.140944e+00	2.550142e-01	1.513105e+00	3.610651e+00	nan	76.705000
FCB	1	1969920000	nan	2.434666e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	13	10	12	12	11	13	4	4.811845e+00	3.956113e-02	2.314563e+00	-3.097104e-01	5.546915e+00	2.285879e-01	3.962065e+00	2.883505e+00	nan	73.696000
FCB	1	1969960000	3.198581e+00	3.198581e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	13	9	11	13	12	12	6	5.593605e+00	5.134559e+00	2.260865e+00	-2.973847e-01	5.236390e+00	2.535662e-01	4.606154e+00	3.005505e+00	2.993970e+00	84.708000
FCB	1	1970000000	2.883036e+00	2.883036e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	13	12	13	12	8	4.716350e+00	3.434358e+00	2.978244e+00	-2.889057e-01	4.866336e+00	2.856468e-01	3.568167e+00	4.273994e+00	2.113138e+00	57.408000
FCB	1	1970040000	3.060544e+00	3.060544e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	12	9	11	13	12	13	9	4.675573e+00	3.246616e+00	3.359748e+00	-2.871305e-01	4.912047e+00	2.003622e-01	3.609725e+00	4.370452e+00	3.457502e+00	81.635000
FCB	1	1970080000	3.110315e+00	3.110315e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	11	9	8	13	13	12	8	4.666830e+00	3.316009e+00	3.821563e+00	-2.865938e-01	4.989664e+00	-2.287059e-03	3.511875e+00	4.759431e+00	3.216344e+00	91.416000
FCB	1	1970120000	3.069277e+00	3.069277e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	9	6	12	13	13	5	4.041788e+00	3.610146e+00	3.757487e+00	-2.902384e-01	5.214452e+00	-8.012100e-02	3.693618e+00	4.876045e+00	2.800314e+00	66.970000
FCB	1	1970160000	nan	2.662885e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	10	6	13	12	13	4	3.665981e+00	3.527326e+00	3.432494e+00	-2.924872e-01	nan	-2.245996e-01	3.341952e+00	5.189531e+00	nan	68.094000
FCB	1	1970200000	nan	2.689557e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	9	4	13	13	12	1	3.339250e+00	3.808136e+00	3.495169e+00	-2.951313e-01	nan	-2.431786e-01	3.193999e+00	5.528652e+00	nan	47.456000
FCB	1	1970240000	nan	2.278679e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	10	4	12	13	12	1	3.241856e+00	4.048902e+00	3.904857e+00	-3.316650e-01	-3.403642e-01	8.512687e-02	2.107747e+00	5.512975e+00	nan	79.560000
FCB	1	1970280000	nan	1.904740e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	10	6	13	12	12	3	2.001944e+00	3.595193e+00	3.181124e+00	-3.370754e-01	-3.456231e-01	5.119834e-01	2.137628e+00	4.492743e+00	nan	74.553000
FCB	1	1970320000	2.863608e+00	2.863608e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	9	9	12	13	13	6	1.254608e+00	6.060732e+00	5.164905e+00	1.455118e+00	-2.877542e-01	1.735746e+00	5.690720e+00	1.848709e+00	2.849691e+00	75.754000
FCB	1	1970360000	4.944448e+00	4.944448e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	8	10	13	13	12	8	6.750517e+00	6.827423e+00	7.641663e+00	3.258521e+00	-2.716479e-01	4.007390e+00	7.423749e+00	8.237383e-01	8.038676e+00	72.758000
FCB	1	1970400000	5.191795e+00	5.191795e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	9	12	13	13	12	10	6.350692e+00	7.513270e+00	8.607434e+00	4.242177e+00	-2.452058e-01	5.315061e+00	8.370057e+00	-5.081945e-03	6.577754e+00	100.558000
FCB	1	1970440000	5.524380e+00	5.524380e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	13	12	9	13	12	13	11	13	6.806003e+00	7.975443e+00	8.797515e+00	5.950579e-01	5.681587e+00	5.501742e+00	8.647157e+00	-6.972921e-02	5.784641e+00	66.581000
FCB	1	1970480000	5.287973e+00	5.287973e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	11	9	13	13	12	12	12	5.495979e+00	8.037424e+00	8.816603e+00	-2.375504e-01	5.161519e+00	5.861116e+00	8.533530e+00	-1.809691e-01	6.104107e+00	91.417000
FCB	1	1970520000	4.753712e+00	4.753712e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	13	8	13	12	13	11	13	2.968729e-01	7.187820e+00	6.211626e+00	7.609956e+00	5.161268e+00	3.610941e+00	7.101265e+00	-2.133637e-01	5.817020e+00	62.714000
FCB	1	1970560000	3.726360e+00	3.726360e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	11	13	10	12	13	12	11	11	2.208168e+00	5.953754e+00	5.483182e+00	3.137327e+00	5.084536e+00	2.183220e+00	4.040320e+00	-2.018169e-01	5.648555e+00	89.373000
FCB	1	1970600000	4.332056e+00	4.332056e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	13	9	12	13	13	12	10	3.440877e+00	6.717734e+00	4.754447e+00	2.282586e+00	6.388692e+00	2.788901e+00	6.924306e+00	-1.741377e-01	5.865100e+00	89.326000
FCB	1	1970640000	4.418557e+00	4.418557e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	12	9	12	13	10	12	8	5.518900e+00	6.796402e+00	4.275222e+00	1.158394e+00	6.601233e+00	2.656615e+00	6.920191e+00	-1.447028e-01	5.984761e+00	56.721000
FCB	1	1970680000	4.612775e+00	4.612775e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	9	12	13	8	12	6	6.327346e+00	6.654433e+00	4.490068e+00	3.844308e+00	6.094533e+00	2.946400e+00	7.019746e+00	-1.875281e-01	4.325674e+00	53.508000
FCB	1	1970720000	3.883293e+00	3.883293e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	8	13	12	7	13	2	6.437591e+00	6.287344e+00	4.015348e+00	1.688986e+00	6.430178e+00	2.907849e+00	7.645676e+00	-1.943453e-01	-2.689916e-01	67.392000
FCB	1	1970760000	nan	4.003709e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	7	12	11	6	12	4	5.740372e+00	6.029362e+00	3.546051e+00	5.439886e+00	6.044124e+00	1.443615e+00	nan	-2.174475e-01	nan	59.188000
FCB	1	1970800000	nan	3.672421e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	6	13	8	6	13	6	5.675215e+00	6.889241e+00	4.129813e+00	5.691843e+00	6.361213e+00	1.048773e+00	-2.647089e-01	-1.520229e-01	nan	80.980000
FCB	1	1970840000	4.883491e+00	4.883491e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	7	12	6	8	12	7	7.741116e+00	8.113018e+00	5.777368e+00	4.909728e+00	5.942968e+00	1.105905e+00	2.029316e+00	1.533426e-01	8.178661e+00	86.829000
FCB	1	1970880000	5.850405e+00	5.850405e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	7	12	4	11	13	9	8.875102e+00	8.374408e+00	1.917576e+00	6.211491e+00	8.817714e+00	1.106267e+00	8.301784e+00	-2.234112e-02	9.071644e+00	62.978000
FCB	1	1970920000	nan	6.804867e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	7	13	2	13	13	12	9.343679e+00	8.197756e+00	1.984698e+00	8.341913e+00	8.759170e+00	nan	9.262084e+00	-1.909550e-01	8.740587e+00	50.201000
