FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	2250000000	nan	4.196642e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	0	5	12	12	13	12	8.655301e+00	-2.417561e-01	1.643060e-01	nan	-2.667469e-01	2.592250e+00	8.451997e+00	6.024101e+00	8.193683e+00	37.503000
FCB	1	2250040000	nan	3.228021e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	2	7	12	13	12	13	6.911039e+00	-2.669806e-01	2.871040e-01	nan	-2.673729e-01	1.921443e+00	7.745733e+00	6.061454e+00	3.431749e+00	36.926000
FCB	1	2250080000	3.612243e+00	3.612243e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	5	9	13	12	13	12	5.512083e+00	-2.997155e-01	7.099942e-01	4.700771e+00	3.551280e+00	1.942232e+00	6.520356e+00	5.632880e+00	4.240302e+00	42.884000
FCB	1	2250120000	2.805644e+00	2.805644e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	12	7	12	12	13	13	13	5.010600e+00	-3.164395e-01	9.389390e-01	4.697747e+00	3.440789e+00	1.726382e+00	-3.112704e-01	5.302831e+00	4.761216e+00	54.475000
FCB	1	2250160000	2.811131e+00	2.811131e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	12	8	13	13	13	12	13	4.604268e+00	-3.193159e-01	7.258213e-01	6.071232e+00	3.336434e+00	1.660345e+00	-3.034767e-01	5.003247e+00	4.521625e+00	54.851000
FCB	1	2250200000	1.906992e+00	1.906992e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	12	10	12	13	12	13	13	2.690004e+00	-3.398592e-01	7.086081e-01	6.926594e-01	3.364392e+00	1.781988e+00	-3.211051e-01	4.349703e+00	4.236536e+00	59.141000
FCB	1	2250240000	1.509051e+00	1.509051e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	10	13	12	12	12	13	2.147480e+00	-3.437967e-01	7.318143e-01	-3.731419e-01	3.467873e+00	3.837322e-01	-3.351758e-01	3.699738e+00	4.202931e+00	54.335000
FCB	1	2250280000	1.419228e+00	1.419228e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	11	12	13	12	12	12	1.408366e+00	-3.512979e-01	7.005232e-01	-3.741413e-01	3.920049e+00	2.949369e-01	-3.524795e-01	3.102229e+00	4.424864e+00	55.973000
FCB	1	2250320000	1.607316e+00	1.607316e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	11	13	12	12	13	13	1.756732e+00	-3.518587e-01	4.185127e-01	4.222157e-01	3.861732e+00	2.946718e-01	-3.549954e-01	3.801153e+00	4.617682e+00	56.254000
FCB	1	2250360000	2.729318e+00	2.729318e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	12	13	13	13	12	13	2.248327e+00	-3.172921e-01	5.665766e-02	1.495804e+00	5.265528e+00	7.545569e-01	5.149292e+00	4.669329e+00	5.241656e+00	56.581000
FCB	1	2250400000	3.831489e+00	3.831489e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	13	12	12	12	13	12	2.899560e+00	-2.658329e-01	3.718881e+00	4.314560e+00	5.716759e+00	1.236381e+00	5.397285e+00	5.459683e+00	6.006126e+00	57.190000
