FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	1	0	nan	3.419018e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	6	6	4	0	0	6.144329e+00	1.104991e+00	6.646268e+00	-2.195145e-01	nan	nan	26.085000
BVB	1	40000	nan	4.131644e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	9	8	4	0	0	7.467486e+00	1.955637e+00	7.319128e+00	-2.156765e-01	nan	nan	27.455000
BVB	1	80000	nan	4.127297e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	10	4	0	0	7.957174e+00	2.655642e+00	6.110869e+00	-2.144976e-01	nan	nan	31.138000
BVB	1	120000	nan	5.763621e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	3	0	0	7.780815e+00	3.094249e+00	6.415799e+00	nan	nan	nan	11.996000
BVB	1	160000	nan	6.156081e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	10	0	0	0	7.347362e+00	2.876387e+00	8.244494e+00	nan	nan	nan	23.494000
BVB	1	200000	nan	6.050918e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	0	0	0	7.244631e+00	3.439602e+00	7.468520e+00	nan	nan	nan	14.243000
BVB	1	240000	nan	6.544716e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	0	0	0	6.746751e+00	4.086390e+00	8.801006e+00	nan	nan	nan	14.165000
BVB	1	280000	nan	5.827568e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	8	0	0	0	4.448565e+00	4.504916e+00	8.529223e+00	nan	nan	nan	14.211000
BVB	1	320000	nan	4.152045e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	0	0	0	3.475830e+00	2.208618e+00	6.771686e+00	nan	nan	nan	14.196000
BVB	1	360000	nan	3.635823e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	9	0	0	0	3.284370e+00	1.350482e+00	6.272618e+00	nan	nan	nan	11.295000
BVB	1	400000	nan	4.237122e+00	3	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	10	0	0	0	5.020057e+00	1.600887e+00	6.090421e+00	nan	nan	nan	14.180000
