FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	246440000	3.899051e+00	3.899051e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	11	13	8	11	13	10	13	12	6.780080e+00	4.870819e+00	8.086311e+00	7.215540e+00	1.029370e+00	-2.699250e-01	2.466391e-01	7.415998e+00	-2.833759e-01	72.115000
FCB	1	246480000	4.828679e+00	4.828679e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	13	8	9	13	12	13	11	7.061135e+00	5.173287e+00	8.054780e+00	6.389350e+00	3.672329e+00	-2.579236e-01	5.855925e+00	7.768029e+00	-2.587980e-01	48.984000
FCB	1	246520000	4.212882e+00	4.212882e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	9	7	12	13	13	12	6.670492e+00	4.209151e+00	7.809579e+00	6.825748e+00	-2.817109e-01	-2.585815e-01	5.676451e+00	7.521224e+00	-2.564123e-01	49.124000
FCB	1	246560000	nan	4.910771e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	13	8	7	13	12	12	12	6.526308e+00	4.237807e+00	7.949685e+00	7.124126e+00	nan	-2.460324e-01	5.831664e+00	8.110960e+00	-2.483511e-01	43.462000
FCB	1	246600000	nan	5.063837e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	9	6	12	13	13	12	6.438789e+00	4.772910e+00	8.060733e+00	7.127245e+00	nan	-2.477688e-01	6.398858e+00	8.209486e+00	-2.495523e-01	43.540000
FCB	1	246640000	4.153724e+00	4.153724e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	8	6	13	13	14	13	6.075353e+00	4.709337e+00	7.234299e+00	6.213456e+00	-3.058672e-01	-2.962383e-01	5.901069e+00	8.103173e+00	-2.510697e-01	49.421000
FCB	1	246680000	3.619192e+00	3.619192e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	8	8	13	12	11	12	4.697450e-01	4.926246e+00	6.611485e+00	6.465632e+00	-3.126329e-01	-3.051015e-01	7.632888e+00	7.060770e+00	2.369571e-02	49.124000
FCB	1	246720000	4.338041e+00	4.338041e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	9	11	12	13	9	13	2.734740e-01	5.603637e+00	5.881778e+00	8.411598e+00	6.153265e+00	-2.758067e-01	6.753574e+00	6.025832e+00	2.150159e-01	49.405000
FCB	1	246760000	4.262039e+00	4.262039e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	8	11	13	12	7	12	2.029955e-01	5.463575e+00	7.781469e+00	6.328510e+00	7.680277e+00	-2.792369e-01	6.535062e+00	4.462513e+00	1.831821e-01	48.719000
FCB	1	246800000	nan	3.046707e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	9	12	12	13	5	12	2.093147e-01	3.979131e+00	7.118310e+00	-3.251974e-01	7.746438e+00	-2.926401e-01	5.712560e+00	nan	2.257434e-01	43.462000
FCB	1	246840000	nan	2.805686e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	8	12	12	13	5	13	1.838600e-01	3.119471e+00	6.492404e+00	7.200503e-02	7.503902e+00	-3.036464e-01	5.217017e+00	nan	1.604721e-01	43.383000
