FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	1	518840000	nan	3.122568e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	12	0	5.611526e+00	5.455528e+00	5.161850e-02	4.738348e+00	-2.441805e-01	nan	17.332000
BVB	1	518880000	nan	1.832760e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	12	13	0	4.763665e+00	3.137228e-02	1.318894e-01	4.467478e+00	-2.306035e-01	nan	37.030000
BVB	1	518920000	nan	2.018648e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	12	0	4.668007e+00	8.032550e-01	3.493766e-01	4.510081e+00	-2.374804e-01	nan	47.190000
BVB	1	518960000	nan	2.009818e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	12	13	0	4.436873e+00	1.540013e+00	3.323791e-01	3.995884e+00	-2.560609e-01	nan	57.361000
BVB	1	519000000	nan	7.974190e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	13	0	1.737463e+00	9.936901e-01	-2.271715e-01	1.773639e+00	-2.905252e-01	nan	57.377000
BVB	1	519040000	nan	8.583685e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	12	0	2.013860e+00	1.179467e+00	-2.941533e-01	1.683430e+00	-2.907617e-01	nan	57.486000
BVB	1	519080000	nan	1.752014e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	13	0	2.316632e+00	2.166058e-01	3.380055e+00	3.112026e+00	-2.652494e-01	nan	57.720000
BVB	1	519120000	nan	2.065172e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	12	0	2.766121e+00	3.251439e-01	3.597972e+00	3.895094e+00	-2.584722e-01	nan	57.860000
BVB	1	519160000	nan	2.476913e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	12	13	0	3.665294e+00	1.783673e+00	2.928470e+00	4.273661e+00	-2.665331e-01	nan	57.517000
BVB	1	519200000	nan	1.188784e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	13	0	3.278609e+00	1.402103e+00	1.755873e+00	-1.996060e-01	-2.930588e-01	nan	57.548000
BVB	1	519240000	nan	2.257108e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	13	12	0	3.237894e+00	2.477653e+00	1.153261e+00	-1.957923e-01	4.612522e+00	nan	57.502000
BVB	1	519280000	nan	2.068909e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	13	0	3.425726e+00	2.842732e+00	1.085042e+00	-2.301106e-01	3.221153e+00	nan	57.704000
BVB	1	519320000	nan	2.890733e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	12	0	4.901097e+00	2.615451e+00	1.312295e+00	-2.016448e-01	5.826465e+00	nan	58.016000
BVB	1	519360000	nan	2.964248e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	12	13	0	5.252767e+00	2.735948e+00	1.166698e+00	-1.688980e-01	5.834723e+00	nan	57.798000
BVB	1	519400000	nan	3.916060e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	13	0	5.865948e+00	3.319071e+00	4.114180e+00	-1.338378e-01	6.414937e+00	nan	57.752000
BVB	1	519440000	nan	5.239177e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	12	11	0	6.212974e+00	3.139619e+00	5.545491e+00	4.817554e+00	6.480247e+00	nan	57.688000
BVB	1	519480000	nan	5.332431e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	12	0	6.928707e+00	3.072479e+00	5.718979e+00	6.265854e+00	4.676135e+00	nan	57.627000
BVB	1	519520000	nan	6.210763e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	11	0	7.657107e+00	1.906370e+00	6.722550e+00	7.085877e+00	7.681913e+00	nan	57.611000
BVB	1	519560000	nan	6.548346e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	12	0	7.908716e+00	3.085343e+00	7.204342e+00	7.259444e+00	7.283883e+00	nan	57.283000
BVB	1	519600000	nan	5.733434e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	12	0	7.692370e+00	2.447966e+00	7.248272e+00	7.527079e+00	3.751483e+00	nan	57.565000
BVB	1	519640000	nan	5.647576e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	12	12	0	7.144498e+00	3.757961e+00	6.643899e+00	7.413608e+00	3.277913e+00	nan	57.564000
BVB	1	519680000	nan	5.741831e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	12	0	7.148457e+00	5.185970e+00	5.631524e+00	7.225234e+00	3.517967e+00	nan	57.799000
BVB	1	519720000	nan	5.959071e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	12	13	0	7.445567e+00	4.822287e+00	6.080183e+00	7.535825e+00	3.911491e+00	nan	57.658000
BVB	1	519760000	nan	6.218658e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	13	0	7.620761e+00	5.504780e+00	6.356087e+00	7.376403e+00	4.235258e+00	nan	57.565000
BVB	1	519800000	nan	6.366195e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	12	13	0	7.930284e+00	5.262558e+00	6.740277e+00	7.229476e+00	4.668381e+00	nan	38.594000
BVB	1	519840000	nan	5.723810e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	12	12	0	7.777783e+00	4.585185e+00	6.257562e+00	7.185748e+00	2.812769e+00	nan	57.174000
BVB	1	519880000	nan	5.299695e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	12	13	0	6.732490e+00	4.567975e+00	6.068454e+00	6.474680e+00	2.654876e+00	nan	49.359000
BVB	1	519920000	nan	4.169977e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	11	13	0	6.830912e+00	4.418278e+00	1.774664e+00	6.165775e+00	1.660258e+00	nan	48.563000
BVB	1	519960000	nan	4.026790e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	12	0	7.170593e+00	4.463222e+00	1.675405e+00	7.044689e+00	-2.199596e-01	nan	47.985000
BVB	1	520000000	nan	3.965168e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	12	10	0	6.665758e+00	4.133506e+00	1.941053e+00	7.307037e+00	-2.215134e-01	nan	58.953000
BVB	1	520040000	nan	4.220930e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	13	7	0	6.217448e+00	5.072625e+00	2.349734e+00	7.684389e+00	-2.195454e-01	nan	56.597000
BVB	1	520080000	nan	4.067216e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	8	13	6	0	5.056765e+00	4.676942e+00	3.204792e+00	7.617103e+00	-2.195213e-01	nan	30.264000
BVB	1	520120000	nan	3.206390e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	12	4	0	3.342236e+00	3.504448e+00	4.167282e+00	5.263870e+00	-2.458874e-01	nan	44.335000
BVB	1	520160000	nan	2.530512e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	13	5	0	2.068905e+00	2.054986e+00	5.192985e+00	3.581764e+00	-2.460799e-01	nan	48.298000
BVB	1	520200000	nan	2.243426e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	12	7	0	1.602429e+00	1.513221e+00	4.889098e+00	3.326339e+00	-1.139585e-01	nan	61.932000
BVB	1	520240000	nan	8.252194e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	13	9	0	1.318838e+00	1.358645e+00	1.288130e-01	1.201834e+00	1.179673e-01	nan	41.792000
BVB	1	520280000	nan	3.644771e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	13	11	0	1.388412e-01	1.075631e+00	-1.849484e-01	7.270255e-01	6.583636e-02	nan	62.588000
BVB	1	520320000	nan	1.302385e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	7	13	12	0	-2.213862e-01	9.542231e-02	5.207541e-02	4.412957e-01	2.837851e-01	nan	57.876000
BVB	1	520360000	nan	2.816059e-02	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	13	13	0	-3.088425e-01	-4.777264e-02	3.023628e-02	2.805716e-01	1.866102e-01	nan	45.598000
BVB	1	520400000	nan	-1.326060e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	12	11	0	-3.316420e-01	1.943918e-01	4.764937e-02	-2.350217e-01	-3.384075e-01	nan	51.449000
BVB	1	520440000	nan	8.142601e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	13	10	0	-3.469123e-01	7.291405e-01	6.549202e-01	3.382583e+00	-3.484307e-01	nan	49.733000
BVB	1	520480000	nan	1.199212e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	12	11	0	-3.450011e-01	-7.633826e-02	4.348132e+00	2.421842e+00	-3.525724e-01	nan	56.910000
BVB	1	520520000	nan	-1.942337e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	9	0	-3.646753e-01	-1.635524e-01	-1.143971e-01	8.288958e-03	-3.368325e-01	nan	45.271000
BVB	1	520560000	nan	-2.024453e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	7	0	-3.620689e-01	-6.925630e-02	-2.329933e-01	-3.463161e-01	-1.591713e-03	nan	57.112000
BVB	1	520600000	nan	-2.695618e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	8	0	-3.366370e-01	-1.520030e-01	-2.160422e-01	-3.340571e-01	-3.090697e-01	nan	48.969000
BVB	1	520640000	nan	-1.453711e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	13	8	0	-3.312730e-01	-1.038439e-01	-2.359898e-01	-3.321479e-01	2.763990e-01	nan	46.956000
BVB	1	520680000	nan	-1.823963e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	12	8	0	-3.613136e-01	4.415444e-02	-2.523639e-01	-3.607698e-01	1.831152e-02	nan	46.161000
BVB	1	520720000	nan	-2.670170e-01	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	9	13	9	0	-3.695997e-01	-1.297541e-01	-9.288444e-02	-3.706218e-01	-3.722248e-01	nan	26.364000
BVB	1	520760000	nan	-7.444800e-03	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	9	0	-2.749628e-01	2.995014e-01	3.994882e-01	-2.153873e-01	-2.458635e-01	nan	50.873000
BVB	1	520800000	nan	1.220828e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	8	13	6	0	-5.080095e-02	8.950032e-01	2.028603e+00	2.106337e+00	1.124999e+00	nan	56.675000
BVB	1	520840000	nan	1.576244e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	4	0	-6.159420e-02	7.532792e-01	3.142075e+00	2.922432e+00	1.125026e+00	nan	47.689000
BVB	1	520880000	nan	1.631431e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	12	2	0	-3.513773e-02	7.827681e-01	2.895335e+00	2.882759e+00	nan	nan	29.890000
BVB	1	520920000	nan	2.704890e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	0	0	1.557379e+00	7.717764e-01	4.645090e+00	3.845316e+00	nan	nan	41.638000
BVB	1	520960000	nan	2.142171e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	10	12	0	0	-2.354656e-01	3.300881e-01	4.595426e+00	3.878637e+00	nan	nan	44.944000
BVB	1	521000000	nan	2.688865e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	13	3	0	-2.325388e-01	1.105305e+00	5.404143e+00	4.478552e+00	nan	nan	44.741000
BVB	1	521040000	nan	2.251993e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	7	13	5	0	-2.337436e-01	1.167536e+00	5.705713e+00	4.904328e+00	-2.838700e-01	nan	56.518000
BVB	1	521080000	nan	1.146693e+00	2	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	5	13	8	0	-2.788764e-01	2.552046e+00	nan	2.601517e+00	-2.879164e-01	nan	45.022000
BVB	1	521120000	nan	1.076805e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	7	13	10	0	-2.890225e-01	3.162660e+00	-3.296580e-01	3.111041e+00	-2.709930e-01	nan	56.862000
BVB	1	521160000	nan	2.831255e+00	1	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	12	12	0	-2.564623e-01	4.114912e+00	5.159311e+00	5.177693e+00	-3.917941e-02	nan	57.971000
