FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	total_time
BVB	1	1130840000	1.658561e+00	1.658561e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	13	12	11	2.452445e+00	4.618449e+00	1.193177e+00	-7.702863e-02	1.164357e+00	5.999667e-01	16.404000
BVB	1	1130880000	3.535229e+00	3.535229e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	13	13	12	6.721530e+00	7.013789e+00	-1.017444e-02	1.125635e-01	7.454206e+00	-8.053829e-02	16.625000
BVB	1	1130920000	5.452767e+00	5.452767e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	13	13	12	7.478216e+00	8.574457e+00	-1.744390e-01	8.981376e+00	7.981139e+00	-1.241446e-01	25.413000
BVB	1	1130960000	3.617067e+00	3.617067e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	7	13	13	13	6.964216e+00	-9.591419e-02	-1.277596e-01	7.985630e+00	7.156454e+00	-1.802270e-01	16.396000
BVB	1	1131000000	3.658976e+00	3.658976e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	12	12	13	7.704086e+00	-2.667352e-01	-2.743743e-01	6.601811e+00	8.405464e+00	-2.163924e-01	16.224000
BVB	1	1131040000	3.358541e+00	3.358541e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	8	13	12	12	7.285614e+00	-2.725874e-01	-2.861906e-01	7.269750e+00	6.384348e+00	-2.296879e-01	16.192000
BVB	1	1131080000	4.162853e+00	4.162853e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	9	12	13	13	8.027254e+00	-2.574631e-01	-2.650048e-01	7.426417e+00	6.573660e+00	3.472255e+00	25.101000
BVB	1	1131120000	4.492718e+00	4.492718e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	11	13	7.594981e+00	-2.339926e-01	-2.591826e-01	8.084627e+00	5.987696e+00	5.782180e+00	23.510000
BVB	1	1131160000	5.362743e+00	5.362743e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	13	11	12	5.337001e+00	-2.178465e-01	7.801585e+00	7.445428e+00	6.453530e+00	5.356763e+00	22.947000
BVB	1	1131200000	4.690275e+00	4.690275e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	13	11	13	4.927649e+00	-2.180437e-01	7.975237e+00	7.420266e+00	3.156529e+00	4.880011e+00	16.286000
BVB	1	1131240000	4.159477e+00	4.159477e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	10	13	10	12	4.489451e+00	-2.242606e-01	4.427282e+00	7.150561e+00	4.053029e+00	5.060801e+00	16.162000
BVB	1	1131280000	3.988515e+00	3.988515e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	12	11	13	3.838907e+00	-2.267802e-01	5.371004e+00	7.080756e+00	3.208474e+00	4.658729e+00	16.224000
BVB	1	1131320000	4.274956e+00	4.274956e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	12	12	5.179316e+00	-2.282185e-01	5.900853e+00	6.341772e+00	3.585379e+00	4.870634e+00	16.380000
BVB	1	1131360000	3.808742e+00	3.808742e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	13	12	13	4.227286e+00	-2.307933e-01	5.165318e+00	5.427084e+00	3.559530e+00	4.704029e+00	16.318000
BVB	1	1131400000	4.020613e+00	4.020613e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	13	12	12	5.281659e+00	4.079077e-01	5.319513e+00	4.448365e+00	3.492827e+00	5.173408e+00	16.552000
BVB	1	1131440000	4.552822e+00	4.552822e+00	0	6	5	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	11	12	6.272625e+00	2.486884e+00	5.417502e+00	2.543902e+00	5.129305e+00	5.466716e+00	16.333000
