FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	1258080000	6.784732e+00	6.784732e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	11	12	12	13	12	12	8.789653e+00	5.772151e+00	8.827487e+00	8.775131e+00	4.693275e+00	7.491138e+00	7.976273e+00	2.114109e-01	8.526068e+00	26.491000
FCB	1	1258120000	6.656104e+00	6.656104e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	9	13	12	13	13	13	8.345534e+00	5.424168e+00	8.794443e+00	6.265597e+00	6.065750e+00	7.937982e+00	8.285879e+00	2.228329e-01	8.562751e+00	26.832000
FCB	1	1258160000	6.482936e+00	6.482936e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	9	13	13	12	12	13	8.757803e+00	5.127482e+00	8.845947e+00	4.415075e+00	5.452697e+00	8.289578e+00	8.431503e+00	1.176453e-01	8.908696e+00	26.411000
FCB	1	1258200000	6.742279e+00	6.742279e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	8	12	13	13	13	12	8.488500e+00	5.065461e+00	8.937987e+00	6.422861e+00	6.481369e+00	7.655035e+00	8.581017e+00	2.256828e-02	9.025711e+00	26.473000
FCB	1	1258240000	6.608556e+00	6.608556e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	10	8	13	13	12	12	13	8.604653e+00	5.010677e+00	9.074125e+00	5.857330e+00	6.451771e+00	7.925234e+00	8.661599e+00	6.581046e-02	7.825806e+00	26.554000
FCB	1	1258280000	7.200320e+00	7.200320e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	11	9	12	12	12	12	14	8.170230e+00	5.199787e+00	9.006972e+00	8.312544e+00	7.994448e+00	8.233020e+00	8.808603e+00	4.630842e-02	9.030962e+00	26.692000
FCB	1	1258320000	6.878312e+00	6.878312e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	9	13	12	13	13	13	8.020392e+00	5.782031e+00	9.124688e+00	4.213700e+00	8.242104e+00	9.162189e+00	8.536620e+00	4.980363e-02	8.773282e+00	26.613000
FCB	1	1258360000	6.599751e+00	6.599751e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	10	9	13	12	13	12	14	7.742547e+00	6.633472e+00	8.360414e+00	1.842784e+00	9.329229e+00	8.862760e+00	8.384614e+00	5.425523e-02	8.187685e+00	26.585000
FCB	1	1258400000	6.531708e+00	6.531708e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	8	12	11	13	13	12	8.143111e+00	6.784300e+00	8.356124e+00	-2.216534e-01	9.458265e+00	8.520511e+00	8.824856e+00	9.479695e-02	8.825063e+00	31.688000
FCB	1	1258440000	6.609349e+00	6.609349e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	9	12	12	12	13	13	7.263302e+00	6.126758e+00	8.402809e+00	6.709727e+00	8.468269e+00	8.597865e+00	5.977474e+00	1.720525e-01	7.765887e+00	27.175000
FCB	1	1258480000	5.853459e+00	5.853459e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	8	13	13	13	12	12	6.753256e+00	4.972769e+00	8.184935e+00	1.845441e+00	8.241695e+00	8.681156e+00	5.665453e+00	9.757981e-01	7.360623e+00	33.401000
FCB	1	1258520000	6.176942e+00	6.176942e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	8	13	13	13	13	13	6.267042e+00	4.241731e+00	7.606123e+00	4.462935e+00	8.222060e+00	7.746312e+00	7.529790e+00	2.721853e+00	6.794633e+00	29.776000
FCB	1	1258560000	6.138340e+00	6.138340e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	9	12	13	12	12	12	8.444418e+00	3.334872e+00	7.604807e+00	4.083607e+00	7.821559e+00	7.236197e+00	7.455707e+00	4.637065e+00	4.626831e+00	31.075000
