FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	1500000000	3.842405e+00	3.842405e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	10	11	13	12	11	13	4.389234e+00	3.668294e+00	-2.608966e-01	6.417868e+00	4.500947e+00	4.177894e+00	5.008820e+00	2.231038e+00	4.448451e+00	44.569000
FCB	1	1500040000	4.214778e+00	4.214778e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	10	12	13	13	13	13	5.659610e+00	3.639631e+00	-2.546205e-01	6.845599e+00	4.412967e+00	3.796737e+00	5.166978e+00	4.315681e+00	4.350420e+00	38.705000
FCB	1	1500080000	3.945444e+00	3.945444e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	9	11	12	11	12	13	5.720412e+00	3.830060e+00	-2.591796e-01	7.052365e+00	4.231790e+00	3.447335e+00	5.046369e+00	1.790705e+00	4.649142e+00	36.551000
FCB	1	1500120000	4.111612e+00	4.111612e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	8	11	11	12	12	13	5.797858e+00	4.156885e+00	-2.715213e-01	7.138195e+00	4.405260e+00	3.441296e+00	5.527135e+00	1.668608e+00	5.140796e+00	42.432000
FCB	1	1500160000	3.570309e+00	3.570309e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	8	12	12	12	12	12	5.609724e+00	-6.815259e-02	-2.844719e-01	7.175117e+00	3.925213e+00	4.474824e+00	5.528952e+00	9.858511e-01	4.785722e+00	41.512000
FCB	1	1500200000	2.817999e+00	2.817999e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	8	11	12	11	12	13	5.621956e+00	2.541461e-01	-3.011909e-01	6.011864e-01	3.312906e+00	5.654804e+00	4.897860e+00	5.994742e-01	4.720852e+00	115.176000
FCB	1	1500240000	2.784237e+00	2.784237e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	8	12	9	12	11	13	5.595488e+00	2.396590e-01	-3.064717e-01	5.118823e-01	3.389563e+00	5.297979e+00	4.850525e+00	5.016438e-01	4.977862e+00	47.097000
FCB	1	1500280000	2.951437e+00	2.951437e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	7	11	7	12	13	12	5.844472e+00	2.016495e-01	-3.130773e-01	5.969439e-01	3.109268e+00	5.677527e+00	5.071280e+00	1.795918e+00	4.578956e+00	76.066000
FCB	1	1500320000	2.193528e+00	2.193528e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	5	11	7	13	13	13	5.663706e+00	-1.086569e-01	-2.987690e-01	9.945886e-02	4.132904e+00	-3.327622e-01	5.212150e+00	1.991533e+00	3.382190e+00	73.991000
FCB	1	1500360000	nan	3.269514e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	5	12	8	14	12	11	6.927564e+00	4.386414e+00	-2.748461e-01	-2.977793e-01	3.491813e+00	nan	5.062794e+00	2.634919e+00	4.225230e+00	46.878000
