FAN	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	n_reference	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	qf6	qf7	qf8	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	1	2215200000	nan	4.723065e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	12	10	11	13	12	7.672805e+00	9.923206e-02	7.654617e+00	nan	-2.694281e-01	5.450358e+00	8.225180e+00	6.584669e-02	8.885912e+00	22.881000
FCB	1	2215240000	nan	4.508772e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	0	13	12	11	13	9	6.893094e+00	5.718704e-02	7.605688e+00	nan	-2.731435e-01	5.101895e+00	8.099466e+00	6.930517e-02	8.516685e+00	23.035000
FCB	1	2215280000	nan	4.464062e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	0	12	12	11	13	7	6.102027e+00	7.314547e-02	7.840992e+00	nan	-2.741529e-01	5.221877e+00	8.056245e+00	6.905645e-02	8.623304e+00	22.635000
FCB	1	2215320000	nan	4.313008e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	0	13	11	11	13	6	5.796660e+00	1.216102e-01	7.253715e+00	nan	-2.783746e-01	5.023362e+00	7.846389e+00	1.238375e-01	8.616863e+00	22.620000
FCB	1	2215360000	nan	3.671070e+00	2	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	12	0	12	12	13	12	5	5.997301e+00	9.336695e-02	7.180206e+00	nan	-2.844528e-01	4.921724e+00	7.670752e+00	1.185921e-01	nan	19.641000
FCB	1	2215400000	nan	4.648524e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	0	12	12	12	13	6	7.124770e+00	-5.277344e-02	7.653809e+00	nan	-2.637892e-01	5.976444e+00	7.108813e+00	1.108274e+00	8.532641e+00	22.589000
FCB	1	2215440000	nan	5.184169e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	13	12	12	12	8	7.784071e+00	6.965899e+00	4.328438e+00	nan	-2.464496e-01	6.207547e+00	6.865542e+00	1.496135e+00	8.072171e+00	22.870000
FCB	1	2215480000	nan	4.456041e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	0	13	12	12	13	10	8.062095e+00	7.694438e+00	-1.084437e-01	nan	-2.537078e-01	4.858094e+00	6.211985e+00	1.129363e+00	8.054509e+00	22.916000
FCB	1	2215520000	nan	4.555548e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	0	13	12	13	13	11	8.231528e+00	7.960366e+00	-1.097651e-01	nan	-2.524877e-01	5.379122e+00	5.998077e+00	1.242679e+00	7.994866e+00	22.979000
FCB	1	2215560000	nan	4.963991e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	0	12	12	12	12	9	8.220578e+00	8.418895e+00	-2.080852e-01	nan	-2.518456e-01	4.835322e+00	6.602259e+00	3.577971e+00	8.516834e+00	22.729000
FCB	1	2215600000	nan	4.840275e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	12	13	12	13	9	8.022655e+00	8.606540e+00	-1.785516e-01	nan	-2.553573e-01	3.939563e+00	6.981508e+00	3.041501e+00	8.564344e+00	22.854000
FCB	1	2215640000	nan	3.751047e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	0	13	12	12	13	9	7.454273e+00	2.955151e+00	4.601663e-01	nan	-2.803333e-01	4.085974e+00	6.359090e+00	2.234247e+00	6.739805e+00	24.519000
FCB	1	2215680000	nan	3.036862e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	0	12	12	12	13	9	4.053355e+00	3.748081e+00	3.535338e+00	nan	-3.014393e-01	2.953475e+00	4.126499e+00	1.649339e+00	4.530251e+00	42.201000
FCB	1	2215720000	nan	2.903124e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	0	13	11	13	13	10	4.034331e+00	4.629910e+00	4.168686e+00	nan	-3.000982e-01	2.629292e+00	3.167982e+00	1.432093e+00	3.462793e+00	92.899000
FCB	1	2215760000	nan	3.075429e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	0	13	12	13	12	11	4.465289e+00	4.764119e+00	4.726008e+00	nan	-2.988564e-01	2.870272e+00	3.425017e+00	1.257298e+00	3.394289e+00	92.633000
FCB	1	2215800000	nan	2.905919e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	2	12	12	12	13	13	4.006698e+00	3.814469e+00	4.355757e+00	nan	-2.979804e-01	2.768574e+00	3.591964e+00	1.562228e+00	3.445641e+00	93.507000
FCB	1	2215840000	nan	2.905057e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	4	13	12	13	12	12	3.410844e+00	3.462091e+00	4.187881e+00	nan	-2.966381e-01	2.938773e+00	3.457353e+00	2.534473e+00	3.545682e+00	94.318000
FCB	1	2215880000	2.916025e+00	2.916025e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	7	13	12	12	13	13	3.135067e+00	3.133826e+00	3.670728e+00	2.064083e+00	-2.950215e-01	3.029576e+00	3.538832e+00	3.003494e+00	4.963640e+00	106.721000
FCB	1	2215920000	3.602121e+00	3.602121e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	9	13	11	13	13	13	3.104802e+00	3.087772e+00	3.535385e+00	4.802237e+00	-2.874949e-01	3.370646e+00	4.849353e+00	3.956916e+00	5.999476e+00	107.767000
FCB	1	2215960000	3.659931e+00	3.659931e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	13	11	14	12	12	12	11	3.522418e+00	3.163073e+00	3.702929e+00	4.153330e+00	-2.859755e-01	3.167183e+00	5.246375e+00	4.270458e+00	5.999592e+00	107.064000
FCB	1	2216000000	4.115322e+00	4.115322e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	13	12	13	11	12	13	12	3.106458e+00	2.020346e+00	3.340629e+00	6.210116e+00	-2.800004e-01	3.947762e+00	6.032931e+00	5.947394e+00	6.712266e+00	107.173000
FCB	1	2216040000	4.025695e+00	4.025695e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	10	13	11	13	12	12	2.321879e+00	1.366636e+00	5.974117e+00	2.919030e+00	-2.753981e-01	3.928357e+00	5.975956e+00	6.733441e+00	7.287241e+00	106.503000
FCB	1	2216080000	3.924398e+00	3.924398e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	11	13	12	13	13	11	2.231999e+00	1.470136e+00	5.240736e+00	2.098764e+00	-2.755476e-01	4.544833e+00	6.201711e+00	6.706483e+00	7.100463e+00	106.861000
FCB	1	2216120000	3.725546e+00	3.725546e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	10	11	12	13	13	12	2.975383e+00	2.244790e+00	4.835348e+00	2.811619e+00	-2.816894e-01	4.498497e+00	3.767691e+00	6.310488e+00	6.367783e+00	106.907000
FCB	1	2216160000	3.869869e+00	3.869869e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	11	12	9	11	13	12	12	2.483719e+00	8.487661e-01	5.054935e+00	7.194077e+00	-2.867729e-01	3.897133e+00	2.412742e+00	7.096566e+00	6.127658e+00	105.799000
FCB	1	2216200000	3.809815e+00	3.809815e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	12	6	9	13	13	13	2.379644e+00	5.323746e-01	5.188943e+00	5.934086e+00	-2.867685e-01	4.755854e+00	9.814590e-01	7.806579e+00	6.996166e+00	106.003000
FCB	1	2216240000	nan	5.038374e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	10	13	7	10	13	12	13	7.785169e+00	4.749856e-01	4.732511e+00	6.445990e+00	nan	4.459107e+00	4.609370e-01	8.304987e+00	7.643305e+00	93.633000
FCB	1	2216280000	4.353083e+00	4.353083e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	13	6	10	13	13	12	7.545020e+00	6.347175e-01	4.591361e+00	6.631166e+00	-2.670757e-01	5.070279e+00	6.251555e-01	7.006406e+00	7.340717e+00	104.754000
FCB	1	2216320000	4.712144e+00	4.712144e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	12	8	8	13	13	13	7.129272e+00	7.611452e-01	4.807854e+00	6.140250e+00	2.609556e+00	5.498567e+00	5.505692e-01	7.349437e+00	7.562650e+00	104.598000
FCB	1	2216360000	nan	4.769830e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	6	13	10	7	12	12	12	6.833511e+00	7.812091e-01	nan	6.709617e+00	2.446998e+00	5.482640e+00	6.957435e-01	7.794490e+00	7.414429e+00	92.134000
FCB	1	2216400000	4.646987e+00	4.646987e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	4	10	12	8	12	13	13	7.848148e+00	6.925241e-01	5.007431e+00	6.378468e+00	6.028617e-01	4.775455e+00	8.077570e-01	7.962559e+00	7.747681e+00	104.023000
FCB	1	2216440000	3.958613e+00	3.958613e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	3	10	13	8	12	12	13	7.430389e+00	7.547975e-01	4.907899e+00	6.555036e+00	3.574729e+00	4.447661e+00	8.563965e-01	2.089922e-01	6.891618e+00	103.475000
FCB	1	2216480000	3.762283e+00	3.762283e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	3	10	12	8	12	12	13	7.231468e+00	2.641528e-01	4.803747e+00	6.699738e+00	3.193378e+00	4.627727e+00	6.430761e-01	1.638348e-01	6.233426e+00	103.849000
FCB	1	2216520000	nan	3.306734e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	2	9	13	9	13	13	13	7.079526e+00	-1.513237e-01	nan	5.400085e+00	1.868304e+00	5.403311e+00	-2.073282e-01	1.233430e-01	6.937953e+00	92.072000
FCB	1	2216560000	nan	4.555419e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	0	9	13	10	13	12	12	7.719873e+00	8.207829e+00	nan	6.226323e+00	1.360121e+00	5.464293e+00	-2.423871e-01	1.315427e-01	7.575759e+00	91.137000
FCB	1	2216600000	nan	4.142775e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	2	9	12	11	12	13	12	7.641341e+00	7.691580e+00	nan	5.546801e+00	1.471673e+00	3.879599e+00	-2.539793e-01	6.819215e-02	7.096995e+00	91.868000
FCB	1	2216640000	nan	4.120266e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	4	11	13	11	12	12	12	7.803682e+00	7.882630e+00	nan	6.120225e+00	2.134320e+00	2.313772e+00	-2.529543e-01	-2.500490e-02	6.985462e+00	92.571000
FCB	1	2216680000	4.715730e+00	4.715730e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	6	10	13	11	12	12	11	8.190473e+00	8.263962e+00	6.119607e+00	7.510980e+00	2.687605e+00	2.241095e+00	-2.467488e-01	1.092515e-01	7.565345e+00	104.708000
FCB	1	2216720000	4.905931e+00	4.905931e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	10	13	9	13	13	12	8.427851e+00	8.389356e+00	6.069974e+00	7.041164e+00	4.076442e+00	3.036092e+00	-2.428523e-01	3.093485e-01	7.046006e+00	105.442000
FCB	1	2216760000	4.782456e+00	4.782456e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	8	14	11	12	12	12	8.428338e+00	8.411464e+00	6.573097e+00	7.199206e+00	3.385049e+00	3.059076e+00	-2.362692e-01	3.076447e-01	5.914496e+00	105.831000
FCB	1	2216800000	4.481299e+00	4.481299e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	6	12	11	13	12	13	8.130746e+00	8.064154e+00	5.518442e+00	6.481469e+00	2.139131e+00	3.367807e+00	-2.270998e-01	3.338946e-01	6.523147e+00	106.189000
FCB	1	2216840000	nan	4.542912e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	13	4	13	10	13	11	12	8.198890e+00	8.179396e+00	6.029776e+00	nan	2.108078e+00	3.478172e+00	-1.887882e-01	3.831311e-01	8.154643e+00	93.475000
FCB	1	2216880000	nan	4.723082e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	1	13	11	13	11	12	8.334343e+00	8.275367e+00	6.601101e+00	nan	3.090093e+00	2.369913e+00	4.484455e-01	5.202281e-01	8.145161e+00	92.354000
FCB	1	2216920000	nan	4.130344e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	0	13	12	13	12	13	7.109897e+00	4.832966e+00	5.660294e+00	nan	2.572618e+00	1.957664e+00	1.757386e+00	1.910062e+00	7.241868e+00	92.352000
FCB	1	2216960000	nan	3.164631e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	10	12	0	13	11	13	11	12	6.830099e+00	-2.968709e-01	5.401438e+00	nan	1.504021e+00	1.411958e+00	1.833312e+00	1.840838e+00	6.792254e+00	91.572000
FCB	1	2217000000	nan	2.993607e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	13	0	12	11	12	13	12	6.560178e+00	-2.982464e-01	5.539137e+00	nan	1.929229e+00	6.720485e-02	1.986419e+00	1.348061e+00	6.816870e+00	92.243000
FCB	1	2217040000	nan	3.502340e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	12	0	13	10	12	12	12	7.067844e+00	-2.848148e-01	6.738273e+00	nan	1.031525e+00	1.455758e-01	5.350545e+00	3.102793e-01	7.659495e+00	91.665000
FCB	1	2217080000	nan	3.624574e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	0	13	11	12	13	12	7.876800e+00	-2.791109e-01	7.040717e+00	nan	4.506671e-01	-3.893751e-02	6.383660e+00	-1.310742e-01	7.693870e+00	92.788000
FCB	1	2217120000	nan	3.582880e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	0	13	10	13	13	13	7.583320e+00	-2.769742e-01	6.692097e+00	nan	1.109015e+00	-5.615814e-02	6.190766e+00	-1.517612e-01	7.572734e+00	93.210000
FCB	1	2217160000	nan	3.809039e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	12	2	13	9	13	12	11	7.789300e+00	-2.685130e-01	6.861896e+00	nan	2.632959e+00	-9.319436e-02	6.029734e+00	-1.631751e-01	7.683302e+00	92.820000
FCB	1	2217200000	3.725110e+00	3.725110e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	12	5	12	8	12	13	11	8.065748e+00	-1.971164e-01	6.730884e+00	9.447153e-01	4.156680e+00	-1.093079e-01	5.806159e+00	-6.394619e-02	8.192175e+00	104.629000
FCB	1	2217240000	3.063146e+00	3.063146e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	7	13	8	13	13	12	6.610019e+00	4.469303e-02	5.543929e+00	9.410771e-01	2.629502e+00	-9.418105e-02	4.561106e+00	2.596023e-01	7.072563e+00	105.192000
FCB	1	2217280000	2.825330e+00	2.825330e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	10	12	9	12	12	11	6.438156e+00	-9.367021e-02	4.926940e+00	9.033235e-01	1.432298e+00	-6.340550e-02	4.603107e+00	7.060800e-01	6.575139e+00	105.472000
FCB	1	2217320000	2.999568e+00	2.999568e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	11	12	13	9	13	13	12	6.589547e+00	-1.956631e-01	4.634004e+00	1.698614e+00	1.246139e+00	4.260601e-01	5.815194e+00	6.756084e-01	6.106609e+00	106.439000
FCB	1	2217360000	3.750024e+00	3.750024e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	8	12	13	11	12	12	12	7.466984e+00	-2.753696e-01	4.300617e+00	7.895844e+00	1.078933e+00	4.381658e-01	6.672258e+00	-6.436901e-02	6.237155e+00	105.986000
FCB	1	2217400000	3.467294e+00	3.467294e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	6	13	13	10	13	13	12	7.624671e+00	-2.816091e-01	4.498049e+00	5.530515e+00	2.990083e-01	2.292548e-01	7.308395e+00	-1.466202e-01	6.143985e+00	105.863000
FCB	1	2217440000	3.532787e+00	3.532787e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	6	12	13	11	13	12	13	6.396375e+00	-3.004941e-01	4.654817e+00	6.658043e+00	3.006860e-01	1.264596e+00	7.056147e+00	3.572973e-02	5.729184e+00	105.752000
FCB	1	2217480000	nan	2.337669e+00	1	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	7	13	13	10	13	13	12	4.839693e+00	-3.000435e-01	nan	3.779466e+00	1.598947e-02	1.582369e+00	2.464845e+00	1.399251e+00	4.919780e+00	94.006000
FCB	1	2217520000	2.547961e+00	2.547961e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	7	13	13	11	12	13	12	5.312075e+00	-2.874092e-01	3.045174e+00	3.993837e+00	-1.178596e-01	1.546782e+00	2.597382e+00	1.645138e+00	5.196528e+00	106.205000
FCB	1	2217560000	2.699916e+00	2.699916e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	8	13	12	10	12	12	13	4.980648e+00	-2.700663e-01	3.524045e+00	3.681304e+00	1.586105e-02	2.567597e+00	2.818476e+00	1.992619e+00	4.988760e+00	105.830000
FCB	1	2217600000	2.666375e+00	2.666375e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	13	13	11	13	13	12	4.411859e+00	-2.413957e-01	3.810398e+00	2.896816e+00	5.668542e-02	3.665304e+00	4.128026e+00	2.371041e+00	2.898636e+00	107.017000
FCB	1	2217640000	2.944538e+00	2.944538e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	12	13	10	13	12	13	3.011717e+00	-1.370192e-01	3.252769e+00	6.094720e+00	-9.669595e-02	4.530873e+00	5.024361e+00	3.571202e+00	1.248916e+00	107.001000
FCB	1	2217680000	3.005720e+00	3.005720e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	11	13	12	10	13	12	12	3.606385e+00	-9.573505e-02	2.451055e+00	5.984859e+00	-5.100761e-02	4.056814e+00	5.500092e+00	5.530060e+00	6.895952e-02	106.907000
FCB	1	2217720000	2.928750e+00	2.928750e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	13	12	13	10	13	13	13	3.748891e+00	-6.232605e-02	2.221011e+00	5.834034e+00	-2.636441e-01	3.482711e+00	5.631320e+00	5.993953e+00	-2.272009e-01	107.564000
FCB	1	2217760000	2.896018e+00	2.896018e+00	0	9	8	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	12	12	13	10	13	12	13	3.557987e+00	-8.766924e-02	2.415395e+00	5.660688e+00	-3.001113e-01	3.138416e+00	6.034241e+00	5.908704e+00	-2.634898e-01	106.985000
