Zeit,Strafraum,Ballbesitz,ball_pos_change,Boundary,interval,FanEB,Movie,testType,ZeitMemoryItem,Bemerkung,halftime
 01:05,0,FCB --> FCB,no,0,13,,K_M_01.avi,KritSit, 01:05,langer Pass,1
 01:50,0,BVB --> FCB,yes,1,22,FCB,K_D_02.avi,KritSit, 01:51,Test Item andere Szene,1
 02:20,1,BVB --> BVB,no,0,29,,K_D_03.avi,KritSit, 02:20,langer Pass in den Strafraum des FCB,1
 02:22,1,BVB --> FCB,yes,0,30,,T_D_01.avi,Tor, 02:22,Torschuss nebens Tor,1
02:55,1,BVB --> FCB,yes,1,35,FCB,E_D_01.avi,Ecken,02:58,Ecke Dortmund auf Kopf von FCB,1
03:22,0,BVB --> BVB,no,0,40,,K_D_04.avi,KritSit,03:22,Langer Pass aus dem Strafraum des FCB,1
04:05,1,FCB --> BVB,yes,1,49,FCB,,,,"Langer Pass (zu lang), wird vom Torwart leicht gefangen und BVB hat den Ball",1
04:51,0,BVB --> BVB,no,0,58,,K_D_05.avi,KritSit,04:51,,1
06:02,1,BVB --> FCB,yes,0,72,,K_D_06.avi,KritSit,06:02,Freistoß in den Strafraum,1
06:35,1,BVB --> FCB,yes,1,79,FCB,E_D_02.avi,Ecken, 06:39,Ecke Dortmund Torwart fängt sicher,1
07:23,0,FCB --> FCB,no,0,88,,K_M_07.avi,KritSit,07:23,Pass am Boden,1
08:50,0,BVB --> FCB,yes,1,106,FCB,K_D_08.avi,KritSit, 08:50,"Ballabnahme, hoher Ball, BVB bleibt dann doch im Ballbesitz",1
09:03,0,BVB --> BVB,no,0,108,,K_D_09.avi,KritSit, 09:02,Pass am Boden,1
09:35,1,FCB --> BVB,yes,1,115,BVB,,,,Ballverlust FCB im Strafraum,1
 09:43,0,BVB --> BVB,no,0,116,,K_D_11.avi,KritSit, 09:43,langer Pass am Boden,1
 09:47,0,BVB --> BVB,no,0,117,,K_D_10.avi,KritSit,  09:47,"Angriff BVB, kurz vor Strafraum",1
09:50,1,BVB --> FCB,yes,1,118,BVBFCB,T_D_02.avi,Tor, 09:49,"Torschuss aus dem Mittelfeld, knapp übers Tor",1
11:45,0,FCB --> BVB,yes,1,141,FCB,,,,Ball ins Aus gespielt,1
 12:32,0,BVB --> BVB,no,0,150,,K_D_12.avi,KritSit, 12:32,Zweikampf an der langen Seit ,1
12:35,0,BVB --> BVB,no,1,151,BVB,,,,"Angriff BVB auf Torseite, Ball ins Aus",1
12:40,1,BVB --> FCB,yes,1,152,FCB,,,,Ball im Aus,1
12:55,0,FCB --> BVB,yes,1,155,FCB,,,,"Fehlpass FCB, Ball wird von BVB abgefangen",1
13:00,1,BVB --> FCB,yes,1,156,BVBFCB,T_D_03.avi,Tor, 13:01,"Torschuss aus dem Mittelfeld, Torwart ist noch dran - Latte",1
13:45,1,BVB --> FCB,yes,1,165,FCB,E_D_03.avi,Ecken, 13:48,"Ecke Dortmund, Kopf FCB",1
13:55,0,BVB --> BVB,no,1,167,FCB,,,,"Pass BVB BVB, am Boden, nahe am Strafraum",1
14:00,1,BVB --> FCB,yes,1,168,BVB,T_D_03.1.avi,Tor, 13:58,"Schuss BVB am Boden, Torwart wehrt ab",1
14:24,1,BVB --> FCB,yes,0,172,,E_D_03.1.avi,Ecken,14:24,"Ecke BVB, Kopf FCB",1
14:34,0,FCB --> BVB,yes,0,174,,K_D_12.1.avi,KritSit,  14:34,Fallrückzieher FCB --> langer Ball ,1
15:40,0,FCB --> FCB,no,1,188,FCB,,,,Angriff FCB auf der BVB Hälfte,1
15:45,1,FCB --> BVB,yes,1,189,BVBFCB,T_M_04.avi,Tor, 15:43,"Torschuss am Boden FCB, Torwart hält",1
 16:39,0,FCB --> BVB,yes,0,199,,K_M_13.avi,KritSit, 16:39,"Fehlpass FCB, Ball wird von BVB abgefangen",1
17:10,0,BVB --> FCB,yes,1,206,FCB,,,,Foul BVB an FCB nach Fehlpass BVB,1
18:25,0,BVB --> BVB,no,1,221,BVB,,,,Angriff BVB,1
18:30,0,BVB --> BVB,no,1,222,FCB,,,,Angriff BVB,1
18:35,0,BVB --> FCB,yes,1,223,BVBFCB,T_D_05.avi,Tor, 18:33,"Torschuss aufs Tor, Torwart wehrt ab",1
19:05,0,BVB --> FCB,yes,0,229,FCB,E_D_04.avi,Ecken, 19:06,Ecke Dortmund,1
20:54,0,FCB --> BVB,yes,0,250,,K_M_14.avi,KritSit, 20:54,Einwurf FCB --> Kopf BVB,1
21:05,0,BVB --> BVB,no,1,253,BVB,,,,"Angriff BVB, Geräuschkulisse schwillt an",1
21:10,0,BVB --> FCB,yes,0,254,,K_D_15.avi,KritSit, 21:10,Ballverlust BVB während des Angriffs,1
21:20,1,BVB --> FCB,yes,1,256,BVBFCB,T_D_06.avi,Tor, 21:22,Angriff BVB mit Torschuss BVB --> Torwart fängt,1
22:40,0,BVB --> BVB,no,0,272,,K_D_16.avi,KritSit, 22:42,,1
 23:15,0,BVB --> BVB,no,0,279,,K_D_17.avi,KritSit, 23:15,Pass in Nähe des Strafraums,1
23:40,1,BVB --> BVB,no,1,284,FCB,,,,Rückpass zum Torwart BVB,1
 24:20,0,BVB --> FCB,yes,1,292,FCB,,,,Angriff BVB --> Schiedsrichter steht dazwischen,1
 24:35,1,FCB --> BVB,yes,1,295,FCB,,,,Angriff FCB wird im Strafraum BVB abgefangen,1
