"","participant","fan","team","testType","testTime","PC"
"57",18,"FCB","FCB","Ecken",1,0.5
"58",22,"FCB","FCB","Ecken",1,1
"59",31,"FCB","FCB","Ecken",1,1
"60",35,"FCB","FCB","Ecken",1,0.5
"61",39,"FCB","FCB","Ecken",1,1
"62",41,"FCB","FCB","Ecken",1,1
"63",47,"FCB","FCB","Ecken",1,1
"64",48,"FCB","FCB","Ecken",1,0.5
"65",51,"FCB","FCB","Ecken",1,1
"66",56,"FCB","FCB","Ecken",1,1
"67",57,"FCB","FCB","Ecken",1,1
"68",59,"FCB","FCB","Ecken",1,1
"69",61,"FCB","FCB","Ecken",1,1
"70",1,"BVB","BVB","KritSit",1,0.5
"71",3,"BVB","BVB","KritSit",1,0.555555555555556
"72",5,"BVB","BVB","KritSit",1,0.666666666666667
"73",7,"BVB","BVB","KritSit",1,0.666666666666667
"74",23,"BVB","BVB","KritSit",1,1
"75",24,"BVB","BVB","KritSit",1,0.538461538461538
"76",25,"BVB","BVB","KritSit",1,0.777777777777778
"77",28,"BVB","BVB","KritSit",1,0.533333333333333
"78",29,"BVB","BVB","KritSit",1,0.666666666666667
"79",30,"BVB","BVB","KritSit",1,0.75
"80",32,"BVB","BVB","KritSit",1,0.625
"81",33,"BVB","BVB","KritSit",1,0.727272727272727
"82",34,"BVB","BVB","KritSit",1,0.571428571428571
"83",36,"BVB","BVB","KritSit",1,0.625
"84",38,"BVB","BVB","KritSit",1,0.6
"85",40,"BVB","BVB","KritSit",1,0.636363636363636
"86",42,"BVB","BVB","KritSit",1,0.666666666666667
"87",44,"BVB","BVB","KritSit",1,0.5
"88",52,"BVB","BVB","KritSit",1,0.6
"89",54,"BVB","BVB","KritSit",1,0
"90",58,"BVB","BVB","KritSit",1,0.7
"91",60,"BVB","BVB","KritSit",1,0.785714285714286
"92",2,"FCB","BVB","KritSit",1,0.555555555555556
"93",4,"FCB","BVB","KritSit",1,1
"94",6,"FCB","BVB","KritSit",1,0.5
"95",8,"FCB","BVB","KritSit",1,0.705882352941177
"96",9,"FCB","BVB","KritSit",1,0.75
"97",10,"FCB","BVB","KritSit",1,0.533333333333333
"98",11,"FCB","BVB","KritSit",1,0.875
"99",13,"FCB","BVB","KritSit",1,0.9
"100",14,"FCB","BVB","KritSit",1,0.5
"101",15,"FCB","BVB","KritSit",1,0.764705882352941
"102",17,"FCB","BVB","KritSit",1,0.7
"103",18,"FCB","BVB","KritSit",1,0.75
"104",19,"FCB","BVB","KritSit",1,1
"105",20,"FCB","BVB","KritSit",1,0.5
"106",22,"FCB","BVB","KritSit",1,0.625
"107",26,"FCB","BVB","KritSit",1,0.777777777777778
"108",31,"FCB","BVB","KritSit",1,0.785714285714286
"109",35,"FCB","BVB","KritSit",1,0.5
"110",39,"FCB","BVB","KritSit",1,0.6
"111",41,"FCB","BVB","KritSit",1,0.615384615384615
"112",43,"FCB","BVB","KritSit",1,0.571428571428571
"113",45,"FCB","BVB","KritSit",1,0.571428571428571
"114",47,"FCB","BVB","KritSit",1,0.75
"115",48,"FCB","BVB","KritSit",1,0.692307692307692
"116",50,"FCB","BVB","KritSit",1,0.5625
"117",51,"FCB","BVB","KritSit",1,0.454545454545455
"118",55,"FCB","BVB","KritSit",1,0.538461538461538
"119",56,"FCB","BVB","KritSit",1,0.6875
"120",57,"FCB","BVB","KritSit",1,0.533333333333333
"121",59,"FCB","BVB","KritSit",1,0.384615384615385
"122",61,"FCB","BVB","KritSit",1,0.666666666666667
"123",1,"BVB","FCB","KritSit",1,0.333333333333333
"124",3,"BVB","FCB","KritSit",1,0.5
"125",5,"BVB","FCB","KritSit",1,0.6
"126",7,"BVB","FCB","KritSit",1,0.444444444444444
"127",23,"BVB","FCB","KritSit",1,1
"128",24,"BVB","FCB","KritSit",1,0.75
"129",25,"BVB","FCB","KritSit",1,0.666666666666667
"130",28,"BVB","FCB","KritSit",1,0.5
"131",29,"BVB","FCB","KritSit",1,0.5
"132",30,"BVB","FCB","KritSit",1,0.666666666666667
"133",32,"BVB","FCB","KritSit",1,0.4
"134",33,"BVB","FCB","KritSit",1,0.75
"135",34,"BVB","FCB","KritSit",1,0.666666666666667
"136",36,"BVB","FCB","KritSit",1,0.5
"137",38,"BVB","FCB","KritSit",1,0.625
"138",40,"BVB","FCB","KritSit",1,0.7
"139",42,"BVB","FCB","KritSit",1,0
"140",44,"BVB","FCB","KritSit",1,0.6
"141",52,"BVB","FCB","KritSit",1,0.833333333333333
"142",58,"BVB","FCB","KritSit",1,0.6
"143",60,"BVB","FCB","KritSit",1,0.6
"144",2,"FCB","FCB","KritSit",1,0.636363636363636
"145",4,"FCB","FCB","KritSit",1,0.75
"146",6,"FCB","FCB","KritSit",1,0.625
"147",8,"FCB","FCB","KritSit",1,0.75
"148",9,"FCB","FCB","KritSit",1,1
"149",10,"FCB","FCB","KritSit",1,0.5
"150",11,"FCB","FCB","KritSit",1,0.5
"151",13,"FCB","FCB","KritSit",1,0.75
"152",14,"FCB","FCB","KritSit",1,0.818181818181818
"153",15,"FCB","FCB","KritSit",1,0.545454545454545
"154",17,"FCB","FCB","KritSit",1,0.833333333333333
"155",18,"FCB","FCB","KritSit",1,0.428571428571429
"156",19,"FCB","FCB","KritSit",1,1
"157",20,"FCB","FCB","KritSit",1,1
