"","participant","fan","team","testType","testTime","PC"
"535",2,"FCB","FCB","Tor",2,1
"536",4,"FCB","FCB","Tor",2,1
"537",6,"FCB","FCB","Tor",2,0.571428571428571
"538",8,"FCB","FCB","Tor",2,0.636363636363636
"539",9,"FCB","FCB","Tor",2,0.5
"540",10,"FCB","FCB","Tor",2,0.625
"541",11,"FCB","FCB","Tor",2,0.818181818181818
"542",12,"FCB","FCB","Tor",2,1
"543",13,"FCB","FCB","Tor",2,0.875
"544",14,"FCB","FCB","Tor",2,0.875
"545",15,"FCB","FCB","Tor",2,0.909090909090909
"546",16,"FCB","FCB","Tor",2,1
"547",17,"FCB","FCB","Tor",2,1
"548",18,"FCB","FCB","Tor",2,0.833333333333333
"549",19,"FCB","FCB","Tor",2,1
"550",20,"FCB","FCB","Tor",2,0
"551",22,"FCB","FCB","Tor",2,0.857142857142857
"552",26,"FCB","FCB","Tor",2,0.75
"553",31,"FCB","FCB","Tor",2,0.888888888888889
"554",35,"FCB","FCB","Tor",2,1
"555",39,"FCB","FCB","Tor",2,1
"556",41,"FCB","FCB","Tor",2,0.727272727272727
"557",43,"FCB","FCB","Tor",2,0.333333333333333
"558",47,"FCB","FCB","Tor",2,0.8
"559",48,"FCB","FCB","Tor",2,1
"560",50,"FCB","FCB","Tor",2,0.8
"561",51,"FCB","FCB","Tor",2,0.727272727272727
"562",53,"FCB","FCB","Tor",2,1
"563",55,"FCB","FCB","Tor",2,0.7
"564",56,"FCB","FCB","Tor",2,0.818181818181818
"565",57,"FCB","FCB","Tor",2,0.636363636363636
"566",59,"FCB","FCB","Tor",2,0.625
"567",61,"FCB","FCB","Tor",2,0.545454545454545
