"","Movie","X","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_3.thisRepN","trials_3.thisTrialN","trials_3.thisN","trials_3.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_6.keys","key_resp_6.rt","key_resp_9.keys","key_resp_9.rt","key_resp_10.keys","key_resp_10.rt","key_resp_11.keys","key_resp_11.rt","key_resp_12.keys","key_resp_12.rt","date","expName","session","participant","X.1","testTime","testType","fan","konfidenz","team","correct","PC","Strafraum","Ballbesitz","Boundary","interval","FanEB"
"1","E_D_01.avi",955,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,39.9879884175,2,6.59780027909,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Mai_25_2305","PostTest",1,26,NA,1,"Ecken","FCB",2,"BVB","Kopf",0,1,"BVB --> FCB",1,35,"FCB"
"2","E_D_01.avi",3150,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,10.3417579609,5,11.1952060946,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_05_1807","PostTest",1,53,NA,2,"Ecken","FCB",5,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
"3","E_D_01.avi",3920,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3.66469649076,3,3.16299306197,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_03_1355","PostTest",1,57,NA,2,"Ecken","FCB",3,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
"4","E_D_01.avi",1379,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4.65255528286,1,1.00391418462,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_03_1134","PostTest",1,20,NA,2,"Ecken","FCB",1,"BVB","Kopf",0,1,"BVB --> FCB",1,35,"FCB"
"5","E_D_01.avi",3381,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,7.31269365241,1,4.09996801269,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_03_0917","PostTest",1,49,NA,2,"Ecken","FCB",1,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
"6","E_D_01.avi",232,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3.9493829523,1,2.66038784259,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_04_1612","PostTest",1,4,NA,2,"Ecken","FCB",1,"BVB","Kopf",0,1,"BVB --> FCB",1,35,"FCB"
"7","E_D_01.avi",2333,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,22.0637905097,1,4.40927967102,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Mai_25_2304","PostTest",1,52,NA,1,"Ecken","BVB",1,"BVB","Kopf",0,1,"BVB --> FCB",1,35,"FCB"
"8","E_D_01.avi",1167,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3.14540423434,4,5.08709682376,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Mai_25_2308","PostTest",1,30,NA,1,"Ecken","BVB",4,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
"9","E_D_01.avi",1114,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5.18787778894,3,2.8446165644,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Mai_25_2321","PostTest",1,3,NA,1,"Ecken","BVB",3,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
"10","E_D_01.avi",155,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2.89508163747,3,1.15450678787,NA,NA,NA,NA,NA,NA,NA,NA,"2013_Jun_04_2052","PostTest",1,3,NA,2,"Ecken","BVB",3,"BVB","Kopf",1,1,"BVB --> FCB",1,35,"FCB"
