"","Zeit","Strafraum","Ballbesitz","Boundary","interval","FanEB","Movie","testType","ZeitMemoryItem","Bemerkung","halftime","ZeitSekunden","ZeitMemorySekunden","MemoryEB95"
"1"," 01:05",0,"FCB --> FCB",0,13,"","K_M_01.avi","KritSit"," 01:05","langer Pass",1,65,65,"keine"
"2"," 01:50",0,"FCB --> BVB",1,22,"FCB","K_D_02.avi","KritSit"," 01:51","Test Item andere Szene",1,110,111,"keine"
"3"," 02:20",1,"BVB --> BVB",0,29,"","K_D_03.avi","KritSit"," 02:20","langer Pass in den Strafraum des FCB",1,140,140,"keine"
"4"," 02:22",1,"BVB --> FCB",0,30,"","T_D_01.avi","Tor"," 02:22","Torschuss nebens Tor",1,142,142,"keine"
"5","02:55",1,"BVB --> FCB",1,35,"FCB","E_D_01.avi","Ecken","02:58","Ecke Dortmund auf Kopf von FCB",1,175,178,"keine"
"6","03:22",0,"FCB --> BVB",0,40,"","K_D_04.avi","KritSit","03:22","Langer Pass aus dem Strafraum des FCB",1,202,202,"keine"
"7","04:05",1,"FCB --> BVB",1,49,"FCB","","","","Langer Pass (zu lang), wird vom Torwart leicht gefangen und BVB hat den Ball",1,245,NA,NA
"8","04:51",0,"BVB --> BVB",0,58,"","K_D_05.avi","KritSit","04:51","",1,291,291,"keine"
"9","06:02",1,"BVB --> FCB",0,72,"","K_D_06.avi","KritSit","06:02","Freistoß in den Strafraum",1,362,362,"keine"
"10","06:35",1,"BVB --> FCB",1,79,"FCB","E_D_02.avi","Ecken"," 06:39","Ecke Dortmund Torwart fängt sicher",1,395,399,"keine"
"11","07:23",0,"FCB --> FCB",0,88,"","K_M_07.avi","KritSit","07:23","Pass am Boden",1,443,443,"keine"
"12","08:50",0,"BVB --> FCB",1,106,"FCB","K_D_08.avi","KritSit"," 08:50","Ballabnahme, hoher Ball, BVB bleibt dann doch im Ballbesitz",1,530,530,"keine"
"13","09:03",0,"BVB --> BVB",0,108,"","K_D_09.avi","KritSit"," 09:02","Pass am Boden",1,543,542,"keine"
"14","09:35",1,"FCB --> BVB",1,115,"BVB","","","","Ballverlust FCB im Strafraum",1,575,NA,NA
"15"," 09:43",0,"BVB --> BVB",0,116,"","K_D_11.avi","KritSit"," 09:43","langer Pass am Boden",1,583,583,"keine"
"16"," 09:47",0,"BVB --> BVB",0,117,"","K_D_10.avi","KritSit","  09:47","Angriff BVB, kurz vor Strafraum",1,587,587,"keine"
"17","09:50",1,"BVB --> FCB",1,118,"BVBFCB","T_D_02.avi","Tor"," 09:49","Torschuss aus dem Mittelfeld, knapp übers Tor",1,590,589,"ALL"
"18","11:45",0,"FCB --> BVB",1,141,"FCB","","","","Ball ins Aus gespielt",1,705,NA,NA
"19"," 12:32",0,"BVB --> BVB",0,150,"","K_D_12.avi","KritSit"," 12:32","Zweikampf an der langen Seit ",1,752,752,"keine"
"20","12:35",0,"BVB --> BVB",1,151,"BVB","","","","Angriff BVB auf Torseite, Ball ins Aus",1,755,NA,NA
"21","12:40",1,"BVB --> FCB",1,152,"FCB","","","","Ball im Aus",1,760,NA,NA
"22","12:55",0,"FCB --> BVB",1,155,"FCB","","","","Fehlpass FCB, Ball wird von BVB abgefangen",1,775,NA,NA
"23","13:00",1,"BVB --> FCB",1,156,"BVBFCB","T_D_03.avi","Tor"," 13:01","Torschuss aus dem Mittelfeld, Torwart ist noch dran - Latte",1,780,781,"ALL"
"24","13:45",1,"BVB --> FCB",1,165,"FCB","E_D_03.avi","Ecken"," 13:48","Ecke Dortmund, Kopf FCB",1,825,828,"keine"
"25","13:55",0,"BVB --> BVB",1,167,"FCB","","","","Pass BVB BVB, am Boden, nahe am Strafraum",1,835,NA,NA
"26","14:00",1,"BVB --> FCB",1,168,"BVB","T_D_03.1.avi","Tor"," 13:58","Schuss BVB am Boden, Torwart wehrt ab",1,840,838,"ALL"
"27","14:24",1,"BVB --> FCB",0,172,"","E_D_03.1.avi","Ecken","14:24","Ecke BVB, Kopf FCB",1,864,864,"keine"
"28","14:34",0,"FCB --> BVB",0,174,"","K_D_12.1.avi","KritSit","  14:34","Fallrückzieher FCB --> langer Ball ",1,874,874,"keine"
"29","15:40",0,"FCB --> FCB",1,188,"FCB","","","","Angriff FCB auf der BVB Hälfte",1,940,NA,NA
"30","15:45",1,"FCB --> BVB",1,189,"BVBFCB","T_M_04.avi","Tor"," 15:43","Torschuss am Boden FCB, Torwart hält",1,945,943,"ALL"
"31"," 16:39",0,"FCB --> BVB",0,199,"","K_M_13.avi","KritSit"," 16:39","Fehlpass FCB, Ball wird von BVB abgefangen",1,999,999,"keine"
"32","17:10",0,"BVB --> FCB",1,206,"FCB","","","","Foul BVB an FCB nach Fehlpass BVB",1,1030,NA,NA
"33","18:25",0,"BVB --> BVB",1,221,"BVB","","","","Angriff BVB",1,1105,NA,NA
"34","18:30",0,"BVB --> BVB",1,222,"FCB","","","","Angriff BVB",1,1110,NA,NA
"35","18:35",0,"BVB --> FCB",1,223,"BVBFCB","T_D_05.avi","Tor"," 18:33","Torschuss aufs Tor, Torwart wehrt ab",1,1115,1113,"ALL"
"36","19:05",0,"BVB --> FCB",0,229,"FCB","E_D_04.avi","Ecken"," 19:06","Ecke Dortmund",1,1145,1146,"keine"
"37","20:54",0,"FCB --> BVB",0,250,"","K_M_14.avi","KritSit"," 20:54","Einwurf FCB --> Kopf BVB",1,1254,1254,"keine"
"38","21:05",0,"BVB --> BVB",1,253,"BVB","","","","Angriff BVB, Geräuschkulisse schwillt an",1,1265,NA,NA
"39","21:10",0,"BVB --> FCB",0,254,"","K_D_15.avi","KritSit"," 21:10","Ballverlust BVB während des Angriffs",1,1270,1270,"ALL"
"40","21:20",1,"BVB --> FCB",1,256,"BVBFCB","T_D_06.avi","Tor"," 21:22","Angriff BVB mit Torschuss BVB --> Torwart fängt",1,1280,1282,"ALL"
"41","22:40",0,"BVB --> BVB",0,272,"","K_D_16.avi","KritSit"," 22:42","",1,1360,1362,"keine"
"42"," 23:15",0,"BVB --> BVB",0,279,"","K_D_17.avi","KritSit"," 23:15","Pass in Nähe des Strafraums",1,1395,1395,"keine"
"43","23:40",1,"BVB --> BVB",1,284,"FCB","","","","Rückpass zum Torwart BVB",1,1420,NA,NA
"44"," 24:20",0,"BVB --> FCB",1,292,"FCB","","","","Angriff BVB --> Schiedsrichter steht dazwischen",1,1460,NA,NA
"45"," 24:35",1,"FCB --> BVB",1,295,"FCB","","","","Angriff FCB wird im Strafraum BVB abgefangen",1,1475,NA,NA
"46"," 24:48",0,"BVB --> FCB",0,297,"","K_M_17.1.avi","KritSit"," 24:48","Langer Ball BVB zu FCB",1,1488,1488,"keine"
"47"," 24:50",0,"FCB --> BVB",1,298,"FCB","","","","Foul BVB an FCB, dann Foul Ribéry",1,1490,NA,NA
